"id","project_id","probability","pmid","refman","title","abstract","authors","journal","volume","issue","pages","accession_number","doi","ref","publication_date","publication_year","publication_month","keywords","created_at","updated_at","old_id","search_text","status","filename","resolution_labels","resolution_labels_alternate","labels","labels_alternate","tags","general","population","intervention_comparator","outcome"
"4290039","3614","0","","","Clustering by Contour Coreset and Variational Quantum Eigensolver","Recent work has proposed solving the k-means clustering problem on quantum computers via the Quantum Approximate Optimization Algorithm (QAOA) and coreset techniques. Although the current method demonstrates the possibility of quantum k-means clustering, it does not ensure high accuracy and consistency across a wide range of datasets. The existing coreset techniques are designed for classical algorithms, and there is no quantum-tailored coreset technique designed to boost the accuracy of quantum algorithms. This study proposes solving the k-means clustering problem with the variational quantum eigensolver (VQE) and a customized coreset method, the Contour coreset, which is formulated with a specific focus on quantum algorithms. Extensive simulations with synthetic and real-life data demonstrated that the VQE+Contour Coreset approach outperforms existing QAOA+Coreset k-means clustering approaches with higher accuracy and lower standard deviation. This research demonstrates that quantum-tailored coreset techniques can remarkably boost the performance of quantum algorithms compared to generic off-the-shelf coreset techniques. © 2024 The Author(s). Advanced Quantum Technologies published by Wiley-VCH GmbH.","Yung, Canaan (58783971100); Usman, Muhammad (56559567800)","Advanced Quantum Technologies","7","8","","","10.1002/qute.202300450","","","2024","","clustering; coreset; quantum machine learning; variational quantum eigensolver","1773421361340","1773421361340","","Clustering by Contour Coreset and Variational Quantum Eigensolver Yung, Canaan (58783971100); Usman, Muhammad (56559567800) Advanced Quantum Technologies  clustering; coreset; quantum machine learning; variational quantum eigensolver   10.1002/qute.202300450","excluded","scopus_export_Mar 13-2026_bd893968-dc41-4186-9b75-e09d54f76225.csv","","","-1","no","","","","",""
"4290038","3614","0","","","Influence of IQT on research in ICT, part 4","The advanced Quantum Information Technologies subject for Ph.D. students in Electronics Engineering and ICT consists of three parts. A few review lectures concentrate on topics which may be of interest for the students due to their fields of research done individually in their theses. The lectures indicate the diversity of the QIT field, resting on physics and applied mathematics, but possessing wide application range in quantum computing, communications and metrology. The individual IQT seminars prepared by Ph.D. students are as closely related to their real theses as possible. Important part of the seminar is a discussion among the students. The task was to enrich, possibly with a quantum layer, the current research efforts in ICT. And to imagine, what value such a quantum enrichment adds to the research. The result is sometimes astonishing, especially in such cases when quantum layer may be functionally deeply embedded. The final part was to write a short paragraph to a common paper related to individual quantum layer addition to the own research. The paper presents some results of such experiment and is a continuation of previous papers of the same style. © The Author(s).","Ber, Kamil (59158068400); Hammed, Taofeek (59733730000); Qanbari, Amirmohammad (59733189200); Rahman, A. (59733012600); Staniak, Mariusz (59733730100); Romaniuk, Ryszard S. (7006559975)","International Journal of Electronics and Telecommunications","71","1","245–254","","10.24425/ijet.2025.153568","","","2025","","biomedical engineering; cybersecurity; electronics and communications engineering; ICT; QIT; quantum computing; quantum Internet; quantum machine learning; quantum networks; quantum sensors; sensors","1773421361340","1773421361340","","Influence of IQT on research in ICT, part 4 Ber, Kamil (59158068400); Hammed, Taofeek (59733730000); Qanbari, Amirmohammad (59733189200); Rahman, A. (59733012600); Staniak, Mariusz (59733730100); Romaniuk, Ryszard S. (7006559975) International Journal of Electronics and Telecommunications  biomedical engineering; cybersecurity; electronics and communications engineering; ICT; QIT; quantum computing; quantum Internet; quantum machine learning; quantum networks; quantum sensors; sensors   10.24425/ijet.2025.153568","excluded","scopus_export_Mar 13-2026_bd893968-dc41-4186-9b75-e09d54f76225.csv","","","-1","no","","","","",""
"4290034","3614","0","","","Quantum Supervised Learning","Recent advancements in quantum computing have positioned it as a prospective solution for tackling intricate computational challenges, with supervised learning emerging as a particularly promising domain for its application. Despite this potential, the field of quantum machine learning is still in its early stages, and there persists a level of skepticism regarding a possible near-term quantum advantage. This paper aims to provide a classical perspective on current quantum algorithms for supervised learning, effectively bridging traditional machine learning principles with advancements in quantum machine learning. Specifically, this study charts a research trajectory that diverges from the predominant focus of quantum machine learning literature, originating from the prerequisites of classical methodologies and elucidating the potential impact of quantum approaches. Through this exploration, our objective is to deepen the understanding of the convergence between classical and quantum methods, thereby laying the groundwork for future advancements in both domains and fostering the involvement of classical practitioners in the field of quantum machine learning. © Springer-Verlag GmbH Germany and Gesellschaft für Informatik e.V. 2024.","Macaluso, Antonio (57217048533)","KI - Kunstliche Intelligenz","38","4","277–291","","10.1007/s13218-024-00856-7","","","2024","","Quantum algorithms; Quantum machine learning; Supervised learning","1773421361340","1773421361340","","Quantum Supervised Learning Macaluso, Antonio (57217048533) KI - Kunstliche Intelligenz  Quantum algorithms; Quantum machine learning; Supervised learning   10.1007/s13218-024-00856-7","excluded","scopus_export_Mar 13-2026_bd893968-dc41-4186-9b75-e09d54f76225.csv","","","-1","no","","","","",""
"4290033","3614","0","","","Quantum Machine Learning for Next-G Wireless Communications: Fundamentals and the Path Ahead","A comprehensive coverage of the state-of-the-art in quantum machine learning (QML) methodologies, with a unique perspective on their applications for wireless communications, is presented. The paper begins by delving into the fundamental principles of quantum computing, and then goes through different operations and techniques that are involved in QML deployments. Subsequently, it provides an in-depth look at various methods peculiar to quantum computing, such as quantum search algorithms, and discusses their potentials towards maximizing the performance of wireless systems. The integration of quantum-based learning models into the existing machine learning methodologies, such as within the frameworks of unsupervised learning and reinforcement learning, are then examined. Taking the viewpoint of wireless communications, diverse studies in the literature that employ QML-based optimization methods are also highlighted. Finally, to ensure the applicability and feasibility of QML for optimizing wireless systems, potential solutions for deployment challenges are addressed.  © 2020 IEEE.","Narottama, Bhaskara (57188859054); Mohamed, Zina (57204604856); Aissa, Sonia (6603400084)","IEEE Open Journal of the Communications Society","4","","2204–2224","","10.1109/OJCOMS.2023.3309268","","","2023","","Next-generation wireless communications; optimization of wireless systems; quantum machine learning","1773421361340","1773421361340","","Quantum Machine Learning for Next-G Wireless Communications: Fundamentals and the Path Ahead Narottama, Bhaskara (57188859054); Mohamed, Zina (57204604856); Aissa, Sonia (6603400084) IEEE Open Journal of the Communications Society  Next-generation wireless communications; optimization of wireless systems; quantum machine learning   10.1109/OJCOMS.2023.3309268","excluded","scopus_export_Mar 13-2026_bd893968-dc41-4186-9b75-e09d54f76225.csv","","","-1","no","","","","",""
"4290027","3614","0","","","Overfitting in quantum machine learning and entangling dropout","The ultimate goal in machine learning is to construct a model function that has a generalization capability for unseen dataset, based on given training dataset. If the model function has too much expressibility power, then it may overfit to the training data and as a result lose the generalization capability. To avoid such overfitting issue, several techniques have been developed in the classical machine learning regime, and the dropout is one such effective method. This paper proposes a straightforward analogue of this technique in the quantum machine learning regime, the entangling dropout, meaning that some entangling gates in a given parametrized quantum circuit are randomly removed during the training process to reduce the expressibility of the circuit. Some simple case studies are given to show that this technique actually suppresses the overfitting. © 2022, The Author(s), under exclusive licence to Springer Nature Switzerland AG.","Kobayashi, Masahiro (57713080400); Nakaji, Kouhei (57219498135); Yamamoto, Naoki (35792845100)","Quantum Machine Intelligence","4","2","","","10.1007/s42484-022-00087-9","","","2022","","Dropout regularization; Overfitting; Parametrized quantum circuit; Quantum machine learning","1773421361340","1773421361340","","Overfitting in quantum machine learning and entangling dropout Kobayashi, Masahiro (57713080400); Nakaji, Kouhei (57219498135); Yamamoto, Naoki (35792845100) Quantum Machine Intelligence  Dropout regularization; Overfitting; Parametrized quantum circuit; Quantum machine learning   10.1007/s42484-022-00087-9","excluded","scopus_export_Mar 13-2026_bd893968-dc41-4186-9b75-e09d54f76225.csv","","","-1","no","","","","",""
"4290020","3614","0","","","Generative model for learning quantum ensemble with optimal transport loss","Generative modeling is an unsupervised machine learning framework, that exhibits strong performance in various machine learning tasks. Recently, we find several quantum versions of generative model, some of which are even proven to have quantum advantage. However, those methods are not directly applicable to construct a generative model for learning a set of quantum states, i.e., ensemble. In this paper, we propose a quantum generative model that can learn quantum ensemble, in an unsupervised machine learning framework. The key idea is to introduce a new loss function calculated based on optimal transport loss, which have been widely used in classical machine learning due to its good properties; e.g., no need to ensure the common support of two ensembles. We then give in-depth analysis on this measure, such as the scaling property of the approximation error. We also demonstrate the generative modeling with the application to quantum anomaly detection problem, that cannot be handled via existing methods. The proposed model paves the way for a wide application such as the health check of quantum devices and efficient initialization of quantum computation. © 2024, The Author(s).","Tezuka, Hiroyuki (57222730454); Uno, Shumpei (57192422706); Yamamoto, Naoki (35792845100)","Quantum Machine Intelligence","6","1","","","10.1007/s42484-024-00142-7","","","2024","","Anomaly detection; Optimal transport; Quantum generative model; Quantum machine learning","1773421361340","1773421361340","","Generative model for learning quantum ensemble with optimal transport loss Tezuka, Hiroyuki (57222730454); Uno, Shumpei (57192422706); Yamamoto, Naoki (35792845100) Quantum Machine Intelligence  Anomaly detection; Optimal transport; Quantum generative model; Quantum machine learning   10.1007/s42484-024-00142-7","excluded","scopus_export_Mar 13-2026_bd893968-dc41-4186-9b75-e09d54f76225.csv","","","-1","no","","","","",""
"4290017","3614","0","","","Differentiable architecture search for adversarially robust quantum computer vision","Current quantum neural networks suffer from extreme sensitivity to both adversarial perturbations and hardware noise, creating a significant barrier to real-world deployment. Existing robustness techniques typically sacrifice clean accuracy or require prohibitive computational resources. We propose a hybrid quantum-classical Differentiable Quantum Architecture Search (DQAS) framework that addresses these limitations by jointly optimizing circuit structure and robustness through gradient-based methods. Our approach enhances traditional DQAS with a lightweight Classical Noise Layer applied before quantum processing, enabling simultaneous optimization of gate selection and noise parameters. This design preserves the quantum circuit’s integrity while introducing trainable perturbations that enhance robustness without compromising standard performance. Experimental validation on MNIST, FashionMNIST, and CIFAR datasets shows consistent improvements in both clean and adversarial accuracy compared to existing quantum architecture search methods. Under various attack scenarios, including Fast Gradient Sign Method (FGSM), Projected Gradient Descent (PGD), Basic Iterative Method (BIM), and Momentum Iterative Method (MIM), and under realistic quantum noise conditions, our hybrid framework maintains superior performance. Testing on actual quantum hardware confirms the practical viability of discovered architectures. These results demonstrate that strategic classical preprocessing combined with differentiable quantum architecture optimization can significantly enhance quantum neural network robustness while maintaining computational efficiency. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2026.","Afane, Mohamed (59741054100); Long, Quanjiang (60342456300); Shen, Haoting (57215927787); Mao, Ying (55758723600); Farooq, Junaid (57188808136); Wang, Ying (59741804900); Chen, Juntao (57092363300)","Quantum Machine Intelligence","8","1","","","10.1007/s42484-026-00353-0","","","2026","","Adversarial attacks; Quantum architecture search; Quantum machine learning; Robustness","1773421361340","1773421361340","","Differentiable architecture search for adversarially robust quantum computer vision Afane, Mohamed (59741054100); Long, Quanjiang (60342456300); Shen, Haoting (57215927787); Mao, Ying (55758723600); Farooq, Junaid (57188808136); Wang, Ying (59741804900); Chen, Juntao (57092363300) Quantum Machine Intelligence  Adversarial attacks; Quantum architecture search; Quantum machine learning; Robustness   10.1007/s42484-026-00353-0","excluded","scopus_export_Mar 13-2026_bd893968-dc41-4186-9b75-e09d54f76225.csv","","","-1","no","","","","",""
"4290016","3614","0","","","Error-mitigated data-driven circuit learning on noisy quantum hardware","Application-level benchmarks measure how well a quantum device performs meaningful calculations. In the case of parameterized circuit training, the computational task is the preparation of a target quantum state via optimization over a loss landscape. This is complicated by various sources of noise, fixed hardware connectivity, and generative modeling, the choice of target distribution. Gradient-based training has become a useful benchmarking task for noisy intermediate-scale quantum computers because of the additional requirement that the optimization step uses the quantum device to estimate the loss function gradient. In this work, we use gradient-based data-driven circuit learning to qualitatively evaluate the performance of several superconducting platform devices and present results that show how error mitigation can improve the training of quantum circuit Born machines with 28 tunable parameters. © 2020, Springer Nature Switzerland AG.","Hamilton, Kathleen E. (35968703100); Pooser, Raphael C. (6507883286)","Quantum Machine Intelligence","2","1","","","10.1007/s42484-020-00021-x","","","2020","","Error mitigation; Quantum machine learning","1773421361340","1773421361340","","Error-mitigated data-driven circuit learning on noisy quantum hardware Hamilton, Kathleen E. (35968703100); Pooser, Raphael C. (6507883286) Quantum Machine Intelligence  Error mitigation; Quantum machine learning   10.1007/s42484-020-00021-x","excluded","scopus_export_Mar 13-2026_bd893968-dc41-4186-9b75-e09d54f76225.csv","","","-1","no","","","","",""
"4290014","3614","0","","","Swarm-intelligence-based quantum-inspired optimization techniques for enhancing algorithmic efficiency and empirical assessment","Optimizing algorithmic efficiency in today’s computing landscape remains a pressing concern across various fields. This study conducts an in-depth analysis to address this challenge by leveraging quantum-inspired optimization techniques (QIOT). Specifically, the research focuses on the integration of QIOT with deep neural networks (DNNs) to enhance model performance across diverse datasets. Through extensive experimentation, ten swarm-intelligence-based optimization techniques are investigated, including Particle Swarm Optimization (PSO), Ant Colony Optimization (ACO), Grey Wolf Optimizer (GWO), Firefly Algorithm (FO), Bee Colony Optimization (BCO), Cuckoo Search (CS), Moth Flame Optimization (MFO), Flower Pollination Algorithm (FPA), Whale Optimization Algorithm (WOA), and Bat Algorithm (BA). These techniques were chosen for their decentralized, collective behavior, making them particularly suitable for integration with quantum-inspired methods. Evaluation metrics such as accuracy, precision, recall, F1 score, and training time are employed in this study. Furthermore, comparative analyses demonstrate the superiority of QIOT over traditional optimization methods in enhancing algorithmic efficiency. By deploying three different datasets, the study observes a reduction in training time by 27%, 25%, and 12%, respectively, after applying quantum techniques. Additionally, the study includes comprehensive analyses such as accuracy graphs, convergence analysis, and statistical analysis to provide a thorough understanding of the proposed techniques. These findings underscore the transformative potential of quantum computing in modern computing paradigms, paving the way for future research aimed at harnessing quantum-inspired techniques across various application domains. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2024.","Priyadarshini, Ishaani (57189072220)","Quantum Machine Intelligence","6","2","","","10.1007/s42484-024-00201-z","","","2024","","Algorithmic efficiency; Deep neural networks (DNN); Quantum Ant Colony Optimization (QACO); Quantum machine learning; Quantum Particle Swarm Optimization (QPSO); Quantum-inspired optimization techniques (QIOT)","1773421361340","1773421361340","","Swarm-intelligence-based quantum-inspired optimization techniques for enhancing algorithmic efficiency and empirical assessment Priyadarshini, Ishaani (57189072220) Quantum Machine Intelligence  Algorithmic efficiency; Deep neural networks (DNN); Quantum Ant Colony Optimization (QACO); Quantum machine learning; Quantum Particle Swarm Optimization (QPSO); Quantum-inspired optimization techniques (QIOT)   10.1007/s42484-024-00201-z","excluded","scopus_export_Mar 13-2026_bd893968-dc41-4186-9b75-e09d54f76225.csv","","","-1","no","","","","",""
"4290013","3614","0","","","Influence of IQT on research in ICT, part 3","The advanced Quantum Information Technologies subject for Ph.D. students in Electronics Engineering and ICT consists of three parts. A few review lectures concentrate on topics which may be of interest for the students due to their fields of research done individually in their theses. The lectures indicate the diversity of the QIT field, resting on physics and applied mathematics, but possessing wide application range in quantum computing, communications and metrology. The individual IQT seminars prepared by Ph.D. students are as closely related to their real theses as possible. An important part of the seminar is a discussion among the students. The task was to enrich, possibly with a quantum layer, the current research efforts in ICT. And to imagine, what value such a quantum enrichment adds to the research. The result is sometimes astonishing, especially in such cases when quantum layer may be functionally deeply embedded. The final part was to write a short paragraph to a common paper related to individual quantum layer addition to the own research. The paper presents some results of such an experiment and is a continuation of previous papers of the same style. © The Author(s).","Al-Burgan, Daniel (59732652100); Leghelimi, Zinelabidine (58306482300); Li, Zan (59733544600); Nowicki, Łukasz (57968709000); Raji, Mehdi (59732652200); Sendłak, Szymon K. (59732830200); Zhang, Minyu (59733913300); Romaniuk, Ryszard S. (7006559975)","International Journal of Electronics and Telecommunications","71","1","235–243","","10.24425/ijet.2025.153567","","","2025","","biomedical engineering; cybersecurity; electronics and communications engineering; ICT; QIT; quantum computing; quantum Internet; quantum machine learning; quantum networks; quantum sensors; sensors","1773421361340","1773421361340","","Influence of IQT on research in ICT, part 3 Al-Burgan, Daniel (59732652100); Leghelimi, Zinelabidine (58306482300); Li, Zan (59733544600); Nowicki, Łukasz (57968709000); Raji, Mehdi (59732652200); Sendłak, Szymon K. (59732830200); Zhang, Minyu (59733913300); Romaniuk, Ryszard S. (7006559975) International Journal of Electronics and Telecommunications  biomedical engineering; cybersecurity; electronics and communications engineering; ICT; QIT; quantum computing; quantum Internet; quantum machine learning; quantum networks; quantum sensors; sensors   10.24425/ijet.2025.153567","excluded","scopus_export_Mar 13-2026_bd893968-dc41-4186-9b75-e09d54f76225.csv","","","-1","no","","","","",""
