original_index,doi,extracted_data
0,4290040,"{
  ""domains"": [
    ""Not Specified""
  ],
  ""models"": [
    ""Quantum Support Vector Machine"",
    ""Quantum Support Vector Classifier"",
    ""Quantum Kernel Estimation-based Quantum Support Vector Regression"",
    ""QKE-QSVR""
  ]
}"
1,4290037,"{
  ""domains"": [
    ""Internet of Things"",
    ""Cloud Computing""
  ],
  ""models"": [
    ""Parameterized Quantum Circuit"",
    ""Quantum Reinforcement Learning""
  ]
}"
2,4290036,"{
  ""domains"": [
    ""Telecommunications"",
    ""Cloud Gaming""
  ],
  ""models"": [
    ""Quantum Machine Learning"",
    ""Quantum-Inspired""
  ]
}"
3,4290035,"{
  ""domains"": [
    ""Finance"",
    ""Astronomy"",
    ""Biosensors""
  ],
  ""models"": [
    ""QCC-net"",
    ""time-series Hamiltonian kernel""
  ]
}"
4,4290032,"{
  ""domains"": [
    ""Healthcare""
  ],
  ""models"": [
    ""Fused Quantum Dual-Backbone Network""
  ]
}"
5,4290031,"{
  ""domains"": [
    ""Not Specified""
  ],
  ""models"": [
    ""quantum kernel methods"",
    ""quantum classifiers"",
    ""fidelity-based quantum classification algorithms"",
    ""quantum feature maps"",
    ""quantum metric learning""
  ]
}"
6,4290030,"{
  ""domains"": [
    ""Healthcare"",
    ""Dermatology""
  ],
  ""models"": [
    ""Quantum-enhanced classifier""
  ]
}"
7,4290029,"{
  ""domains"": [
    ""Cybersecurity"",
    ""Agriculture"",
    ""Internet of Things""
  ],
  ""models"": [
    ""hybrid quantum–classical neural network"",
    ""fully quantum model"",
    ""hybrid model"",
    ""enhanced hybrid model""
  ]
}"
8,4290028,"{
  ""domains"": [
    ""Not Specified""
  ],
  ""models"": [
    ""Quantum convolutional neural networks"",
    ""Quantum neural network"",
    ""Parameterized quantum circuits""
  ]
}"
9,4290026,"{
  ""domains"": [
    ""Electric Vehicles"",
    ""Intelligent Transportation Systems"",
    ""Battery Management Systems""
  ],
  ""models"": [
    ""Variational Quantum Neural Network"",
    ""Quantum Anomaly Detector""
  ]
}"
10,4290025,"{
  ""domains"": [
    ""Natural Language Processing""
  ],
  ""models"": [
    ""Quantum Recurrent Neural Network"",
    ""Quantum Long Short-Term Memory""
  ]
}"
11,4290024,"{
  ""domains"": [
    ""Not Specified""
  ],
  ""models"": [
    ""Quantum Machine Learning""
  ]
}"
12,4290023,"{'error': ""503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The service is currently unavailable.', 'status': 'UNAVAILABLE'}}""}"
13,4290022,"{
  ""domains"": [
    ""Healthcare"",
    ""Medical Imaging""
  ],
  ""models"": [
    ""Quantum Convolutional Neural Network"",
    ""Variational Quantum Classifier""
  ]
}"
14,4290021,"{
  ""domains"": [
    ""Image Processing""
  ],
  ""models"": [
    ""Quantum Convolutional Autoencoder"",
    ""Quantum Approximate Optimization Algorithm-inspired ansatz circuit""
  ]
}"
15,4290019,"{
  ""domains"": [
    ""Image Classification""
  ],
  ""models"": [
    ""Parameterized Quantum Circuit""
  ]
}"
16,4290018,"{
  ""domains"": [
    ""Natural Language Processing"",
    ""Computer Vision""
  ],
  ""models"": [
    ""Quantum Self-Attention Model"",
    ""Variational Quantum Algorithms"",
    ""Quantum Neural Network"",
    ""Parameterized Quantum Circuits""
  ]
}"
17,4290015,"{
  ""domains"": [
    ""Healthcare""
  ],
  ""models"": [
    ""Quantum-behaved particle swarm optimisation""
  ]
}"
18,4290012,"{
  ""domains"": [
    ""Blockchain"",
    ""Cybersecurity""
  ],
  ""models"": [
    ""Hybrid Quantum–Classical Deep Neural Network""
  ]
}"
19,4290011,"{
  ""domains"": [
    ""Electrical Engineering""
  ],
  ""models"": [
    ""quantum variational model"",
    ""quantum kernel model""
  ]
}"
20,4290009,"{
  ""domains"": [
    ""Internet-of-Things"",
    ""Office room occupancy""
  ],
  ""models"": [
    ""Projected Quantum Kernel"",
    ""Quantum Kernel""
  ]
}"
21,4290008,"{
  ""domains"": [
    ""Optoelectronics"",
    ""Solar cells"",
    ""Catalysis"",
    ""Materials informatics""
  ],
  ""models"": [
    ""Quantum Support Vector Regression""
  ]
}"
22,4290007,"{
  ""domains"": [
    ""Not Specified""
  ],
  ""models"": [
    ""Quantum Neural Network""
  ]
}"
23,4290003,"{
  ""domains"": [
    ""Healthcare""
  ],
  ""models"": [
    ""Quantum Neural Network"",
    ""Quantum Support Vector Machine"",
    ""Bagging-QSVM""
  ]
}"
24,4290000,"{
  ""domains"": [
    ""Intelligent transportation systems""
  ],
  ""models"": [
    ""Multilayer Perceptron–Variational Quantum Classifier"",
    ""Variational Quantum Classifier""
  ]
}"
25,4289998,"{
  ""domains"": [
    ""Not Specified""
  ],
  ""models"": [
    ""variational quantum multi-class classifier""
  ]
}"
26,4289997,"{
  ""domains"": [
    ""Natural Language Processing""
  ],
  ""models"": [
    ""batch upload quantum recurrent neural network"",
    ""parameter nonshared batch upload quantum recurrent neural network""
  ]
}"
27,4289996,"{
  ""domains"": [
    ""Healthcare""
  ],
  ""models"": [
    ""hybrid quantum neural network"",
    ""hybrid quantum neural network with a Quanvolutional layer""
  ]
}"
28,4289995,"{
  ""domains"": [
    ""Healthcare"",
    ""Emergency Management""
  ],
  ""models"": [
    ""Quantum Ordering Points To Identify the Clustering Structure""
  ]
}"
29,4289992,"{
  ""domains"": [
    ""Mining"",
    ""Geology""
  ],
  ""models"": [
    ""Not Specified""
  ]
}"
30,4289991,"{
  ""domains"": [
    ""Healthcare""
  ],
  ""models"": [
    ""Quantum Variational Classifier"",
    ""Parameterized Quantum Circuits"",
    ""Quantum Support Vector Machine"",
    ""Quantum Variational Kernel Support Vector Machine""
  ]
}"
31,4289990,"{
  ""domains"": [
    ""Pattern Recognition""
  ],
  ""models"": [
    ""variational quantum one-class classifier"",
    ""quantum autoencoder"",
    ""parameterized quantum circuit""
  ]
}"
32,4289989,"{
  ""domains"": [
    ""Not Specified""
  ],
  ""models"": [
    ""Quantum Neural Network""
  ]
}"
33,4289988,"{
  ""domains"": [
    ""Manufacturing"",
    ""Infrastructure Maintenance""
  ],
  ""models"": [
    ""Quantum Neural Network"",
    ""Shallow Quantum Neural Network"",
    ""ResNet-SQNN"",
    ""VGG16-SQNN"",
    ""Parameterized Quantum Circuit""
  ]
}"
34,4289987,"{
  ""domains"": [
    ""Healthcare""
  ],
  ""models"": [
    ""Quantum Generative Adversarial Networks""
  ]
}"
35,4289985,"{
  ""domains"": [
    ""Satellite Imagery""
  ],
  ""models"": [
    ""hybrid quantum-classical deep learning model""
  ]
}"
36,4289984,"{
  ""domains"": [
    ""Natural Language Processing""
  ],
  ""models"": [
    ""Quantum classifier""
  ]
}"
37,4289982,"{
  ""domains"": [
    ""Healthcare"",
    ""Assistive communication technologies"",
    ""Biosignal interpretation"",
    ""Human–computer interaction""
  ],
  ""models"": [
    ""Hybrid quantum–classical model"",
    ""Variational quantum circuit""
  ]
}"
38,4289979,"{
  ""domains"": [
    ""Healthcare""
  ],
  ""models"": [
    ""Quantum Support Vector Classifier"",
    ""Quantum Neural Network"",
    ""Quanvolutional Neural Network"",
    ""Bagging-QSVC""
  ]
}"
39,4289976,"{
  ""domains"": [
    ""Healthcare"",
    ""Agriculture"",
    ""Food Science""
  ],
  ""models"": [
    ""Quantum-enhanced k-nearest neighbor""
  ]
}"
40,4289975,"{
  ""domains"": [
    ""Healthcare"",
    ""Drug Discovery""
  ],
  ""models"": [
    ""Variational Quantum Regressions""
  ]
}"
41,4289974,"{
  ""domains"": [
    ""Time-series forecasting""
  ],
  ""models"": [
    ""Variational quantum circuit"",
    ""iQTransformer"",
    ""Quantum self-attention mechanism""
  ]
}"
42,4289973,"{
  ""domains"": [
    ""Aeroelasticity""
  ],
  ""models"": [
    ""Hybrid quantum tensor networks"",
    ""Variational quantum circuits""
  ]
}"
43,4289970,"{
  ""domains"": [
    ""Business""
  ],
  ""models"": [
    ""Variational Quantum Algorithms"",
    ""Instantaneous Quantum Polytime ansatz"",
    ""Simple Sentiment Analysis ansatz""
  ]
}"
44,4289967,"{
  ""domains"": [
    ""Not Specified""
  ],
  ""models"": [
    ""single-qudit quantum neural network"",
    ""qudit-based QNN""
  ]
}"
45,4289966,"{
  ""domains"": [
    ""Cybersecurity"",
    ""Network Security""
  ],
  ""models"": [
    ""Quantum Support Vector Machine"",
    ""Parameterized Quantum Circuit""
  ]
}"
46,4289965,"{
  ""domains"": [
    ""Image Generation""
  ],
  ""models"": [
    ""Quantum generative adversarial networks"",
    ""HQWGAN""
  ]
}"
47,4289964,"{
  ""domains"": [
    ""Healthcare"",
    ""Finance""
  ],
  ""models"": [
    ""Quantum Tensor Networks"",
    ""Federated Quantum Tensor Network""
  ]
}"
48,4289962,"{
  ""domains"": [
    ""Finance""
  ],
  ""models"": [
    ""Quantum Neural Network"",
    ""Tensor Network""
  ]
}"
49,4289957,"{
  ""domains"": [
    ""Healthcare""
  ],
  ""models"": [
    ""Quantum Support Vector Machine""
  ]
}"
50,4289956,"{
  ""domains"": [
    ""Not Specified""
  ],
  ""models"": [
    ""Boltzmann machine"",
    ""quantum-assisted associative adversarial network""
  ]
}"
51,4289955,"{
  ""domains"": [
    ""Not Specified""
  ],
  ""models"": [
    ""variational quantum circuits"",
    ""Lean Classical-Quantum Hybrid Neural Network""
  ]
}"
52,4289951,"{
  ""domains"": [
    ""Earth observation"",
    ""Satellite imagery""
  ],
  ""models"": [
    ""Neural quantum kernels"",
    ""Quantum neural networks""
  ]
}"
53,4289950,"{
  ""domains"": [
    ""Telecommunications"",
    ""Cybersecurity""
  ],
  ""models"": [
    ""Classical-Quantum Neural Networks"",
    ""Classical-Quantum Boltzmann Machines"",
    ""Classical-Quantum K-Means Clustering""
  ]
}"
54,4289948,"{
  ""domains"": [
    ""Finance""
  ],
  ""models"": [
    ""Quantum Graph Neural Networks"",
    ""Variational Quantum Circuits""
  ]
}"
