"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Chen S.Y.-C.; Huang C.-M.; Hsing C.-W.; Kao Y.-J.","Chen, Samuel Yen-Chi (57218546572); Huang, Chih-Min (57221410967); Hsing, Chia-Wei (57221410388); Kao, Ying-Jer (7201671091)","57218546572; 57221410967; 57221410388; 7201671091","An end-to-end trainable hybrid classical-quantum classifier","2021","Machine Learning: Science and Technology","2","4","045021","","","75","10.1088/2632-2153/ac104d","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115443801&doi=10.1088%2F2632-2153%2Fac104d&partnerID=40&md5=7dc281173a358cae7d36c39edecdc80e","Computational Science Initiative, Brookhaven National Laboratory, Upton, 11973, NY, United States; Department of Physics, National Taiwan University, Taipei, 10617, Taiwan; Center for Theoretical Physics, National Taiwan University, Taipei, 10607, Taiwan; Physics Division, National Center for Theoretical Science, Taipei, 10607, Taiwan","Chen S.Y.-C., Computational Science Initiative, Brookhaven National Laboratory, Upton, 11973, NY, United States; Huang C.-M., Department of Physics, National Taiwan University, Taipei, 10617, Taiwan, Center for Theoretical Physics, National Taiwan University, Taipei, 10607, Taiwan; Hsing C.-W., Department of Physics, National Taiwan University, Taipei, 10617, Taiwan, Center for Theoretical Physics, National Taiwan University, Taipei, 10607, Taiwan; Kao Y.-J., Department of Physics, National Taiwan University, Taipei, 10617, Taiwan, Center for Theoretical Physics, National Taiwan University, Taipei, 10607, Taiwan, Physics Division, National Center for Theoretical Science, Taipei, 10607, Taiwan","We introduce a hybrid model combining a quantum-inspired tensor network and a variational quantum circuit to perform supervised learning tasks. This architecture allows for the classical and quantum parts of the model to be trained simultaneously, providing an end-to-end training framework. We show that compared to the principal component analysis, a tensor network based on the matrix product state with low bond dimensions performs better as a feature extractor for the input data of the variational quantum circuit in the binary and ternary classification of MNIST and Fashion-MNIST datasets. The architecture is highly adaptable and the classical-quantum boundary can be adjusted according to the availability of the quantum resource by exploiting the correspondence between tensor networks and quantum circuits.  © 2021 The Author(s).","Principal component analysis; Quantum machine learning; Tensor network; Variational quantum circuit","Classification (of information); Machine learning; Network architecture; Quantum theory; Tensors; Timing circuits; Classical-quantum; End to end; Hybrid model; Network-based; Principal-component analysis; Quantum circuit; Quantum machine learning; Tensor network; Training framework; Variational quantum circuit; Principal component analysis","Y.-J. Kao; Department of Physics, National Taiwan University, Taipei, 10617, Taiwan; email: yjkao@phys.ntu.edu.tw","","IOP Publishing Ltd","26322153","","","","English","Mach. Learn.: Sci. Technol.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85115443801"
"Tiwari P.; Melucci M.","Tiwari, Prayag (57193601962); Melucci, Massimo (57192406172)","57193601962; 57192406172","Towards a Quantum-Inspired Binary Classifier","2019","IEEE Access","7","","6287639","42354","42372","49","10.1109/ACCESS.2019.2904624","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064818887&doi=10.1109%2FACCESS.2019.2904624&partnerID=40&md5=cb13ab98f8c9c0a963dcc721dc778b27","Department of Information Engineering, University of Padova, Padova, 35131, Italy","Tiwari P., Department of Information Engineering, University of Padova, Padova, 35131, Italy; Melucci M., Department of Information Engineering, University of Padova, Padova, 35131, Italy","Machine Learning classification models learn the relation between input as features and output as a class in order to predict the class for the new given input. Several research works have demonstrated the effectiveness of machine learning algorithms but the state-of-the-art algorithms are based on the classical theories of probability and logic. Quantum Mechanics (QM) has already shown its effectiveness in many fields and researchers have proposed several interesting results which cannot be obtained through classical theory. In recent years, researchers have been trying to investigate whether the QM can help to improve the classical machine learning algorithms. It is believed that the theory of QM may also inspire an effective algorithm if it is implemented properly. From this inspiration, we propose the quantum-inspired binary classifier, which is based on quantum detection theory. We used text corpora and image corpora to explore the effect of our proposed model. Our proposed model outperforms the state-of-the-art models in terms of precision, recall, and F-measure for several topics (categories) in the 20 newsgroup text corpora. Our proposed model outperformed all the baselines in terms of recall when the MNIST handwritten image dataset was used; F-measure is also higher for most of the categories and precision is also higher for some categories. Our proposed model suggests that binary classification effectiveness can be achieved by using quantum detection theory. In particular, we found that our Quantum-Inspired Binary Classifier can increase the precision, recall, and F-measure of classification where the state-of-the-art methods cannot. © 2013 IEEE.","Binary classification; quantum mechanics; signal detection","Classification (of information); Classifiers; Machine learning; Quantum theory; Signal detection; Binary classification; Binary classifiers; Effective algorithms; Handwritten images; Machine learning classification; Quantum detection; State-of-the-art algorithms; State-of-the-art methods; Learning algorithms","P. Tiwari; Department of Information Engineering, University of Padova, Padova, 35131, Italy; email: prayag.tiwari@dei.unipd.it","","Institute of Electrical and Electronics Engineers Inc.","21693536","","","","English","IEEE Access","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85064818887"
"Vandenhaute S.; Cools-Ceuppens M.; DeKeyser S.; Verstraelen T.; Van Speybroeck V.","Vandenhaute, Sander (57223842662); Cools-Ceuppens, Maarten (57210274606); DeKeyser, Simon (58037954900); Verstraelen, Toon (24072386300); Van Speybroeck, Veronique (7004396193)","57223842662; 57210274606; 58037954900; 24072386300; 7004396193","Machine learning potentials for metal-organic frameworks using an incremental learning approach","2023","npj Computational Materials","9","1","19","","","104","10.1038/s41524-023-00969-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147543552&doi=10.1038%2Fs41524-023-00969-x&partnerID=40&md5=0cfc94f20c3b8a70cd26d63c3cfc6eb6","Center for Molecular Modeling, Ghent University, Technologiepark 46, Zwijnaarde, 9052, Belgium","Vandenhaute S., Center for Molecular Modeling, Ghent University, Technologiepark 46, Zwijnaarde, 9052, Belgium; Cools-Ceuppens M., Center for Molecular Modeling, Ghent University, Technologiepark 46, Zwijnaarde, 9052, Belgium; DeKeyser S., Center for Molecular Modeling, Ghent University, Technologiepark 46, Zwijnaarde, 9052, Belgium; Verstraelen T., Center for Molecular Modeling, Ghent University, Technologiepark 46, Zwijnaarde, 9052, Belgium; Van Speybroeck V., Center for Molecular Modeling, Ghent University, Technologiepark 46, Zwijnaarde, 9052, Belgium","Computational modeling of physical processes in metal-organic frameworks (MOFs) is highly challenging due to the presence of spatial heterogeneities and complex operating conditions which affect their behavior. Density functional theory (DFT) may describe interatomic interactions at the quantum mechanical level, but is computationally too expensive for systems beyond the nanometer and picosecond range. Herein, we propose an incremental learning scheme to construct accurate and data-efficient machine learning potentials for MOFs. The scheme builds on the power of equivariant neural network potentials in combination with parallelized enhanced sampling and on-the-fly training to simultaneously explore and learn the phase space in an iterative manner. With only a few hundred single-point DFT evaluations per material, accurate and transferable potentials are obtained, even for flexible frameworks with multiple structurally different phases. The incremental learning scheme is universally applicable and may pave the way to model framework materials in larger spatiotemporal windows with higher accuracy. © 2023, The Author(s).","","Computation theory; Machine learning; Metal-Organic Frameworks; Phase space methods; Quantum theory; Computational modelling; Density-functional-theory; Incremental learning; Learning approach; Learning potential; Learning schemes; Machine-learning; Metalorganic frameworks (MOFs); Physical process; Spatial heterogeneity; Density functional theory","V. Van Speybroeck; Center for Molecular Modeling, Ghent University, Zwijnaarde, Technologiepark 46, 9052, Belgium; email: veronique.vanspeybroeck@ugent.be","","Nature Research","20573960","","","","English","npj Computational Mater.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85147543552"
"Mücke S.; Heese R.; Müller S.; Wolter M.; Piatkowski N.","Mücke, Sascha (57211268046); Heese, Raoul (57205566941); Müller, Sabine (57574337300); Wolter, Moritz (57208438537); Piatkowski, Nico (25640184400)","57211268046; 57205566941; 57574337300; 57208438537; 25640184400","Feature selection on quantum computers","2023","Quantum Machine Intelligence","5","1","11","","","54","10.1007/s42484-023-00099-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148688603&doi=10.1007%2Fs42484-023-00099-z&partnerID=40&md5=7e5f9df613d446826058c918ec04ecdd","TU Dortmund, AI Group, Dortmund, 44227, Germany; Fraunhofer FZML, ITWM, Kaiserslautern, 67663, Germany; Fraunhofer FZML, SCAI, Sankt Augustin, 53757, Germany; Fraunhofer IAIS, Sankt Augustin, 53757, Germany","Mücke S., TU Dortmund, AI Group, Dortmund, 44227, Germany; Heese R., Fraunhofer FZML, ITWM, Kaiserslautern, 67663, Germany; Müller S., Fraunhofer FZML, ITWM, Kaiserslautern, 67663, Germany; Wolter M., Fraunhofer FZML, SCAI, Sankt Augustin, 53757, Germany; Piatkowski N., Fraunhofer IAIS, Sankt Augustin, 53757, Germany","In machine learning, fewer features reduce model complexity. Carefully assessing the influence of each input feature on the model quality is therefore a crucial preprocessing step. We propose a novel feature selection algorithm based on a quadratic unconstrained binary optimization (QUBO) problem, which allows to select a specified number of features based on their importance and redundancy. In contrast to iterative or greedy methods, our direct approach yields higher-quality solutions. QUBO problems are particularly interesting because they can be solved on quantum hardware. To evaluate our proposed algorithm, we conduct a series of numerical experiments using a classical computer, a quantum gate computer, and a quantum annealer. Our evaluation compares our method to a range of standard methods on various benchmark data sets. We observe competitive performance. © 2023, The Author(s).","Feature selection; Quantum annealer; QUBO; VQE","Annealing; Iterative methods; Qubits; Binary optimization; Features selection; Input features; Machine-learning; Modeling complexity; Optimization problems; Quadratic unconstrained binary optimization; Quanta computers; Quantum annealer; VQE; Feature Selection","S. Mücke; TU Dortmund, AI Group, Dortmund, 44227, Germany; email: sascha.muecke@tu-dortmund.de","","Springer Science and Business Media Deutschland GmbH","25244906","","","","English","Quantum Mach. Intell.","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85148688603"
"Liu J.; Tacchino F.; Glick J.R.; Jiang L.; Mezzacapo A.","Liu, Junyu (56023429900); Tacchino, Francesco (57200595870); Glick, Jennifer R. (57193010322); Jiang, Liang (24778668400); Mezzacapo, Antonio (55217354300)","56023429900; 57200595870; 57193010322; 24778668400; 55217354300","Representation Learning via Quantum Neural Tangent Kernels","2022","PRX Quantum","3","3","030323","","","50","10.1103/PRXQuantum.3.030323","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137239958&doi=10.1103%2FPRXQuantum.3.030323&partnerID=40&md5=f8a7b9f3a6d5aa191943be029f7985ad","Pritzker School of Molecular Engineering, The University of Chicago, Chicago, 60637, IL, United States; Chicago Quantum Exchange, Chicago, 60637, IL, United States; Kadanoff Center for Theoretical Physics, The University of Chicago, Chicago, 60637, IL, United States; IBM Quantum, IBM Research Ͽ Zurich, Rüschlikon, 8803, Switzerland; IBM Quantum, IBM T. J. Watson Research Center, Yorktown Heights, 10598, NY, United States","Liu J., Pritzker School of Molecular Engineering, The University of Chicago, Chicago, 60637, IL, United States, Chicago Quantum Exchange, Chicago, 60637, IL, United States, Kadanoff Center for Theoretical Physics, The University of Chicago, Chicago, 60637, IL, United States; Tacchino F., IBM Quantum, IBM Research Ͽ Zurich, Rüschlikon, 8803, Switzerland; Glick J.R., IBM Quantum, IBM T. J. Watson Research Center, Yorktown Heights, 10598, NY, United States; Jiang L., Pritzker School of Molecular Engineering, The University of Chicago, Chicago, 60637, IL, United States, Chicago Quantum Exchange, Chicago, 60637, IL, United States; Mezzacapo A., IBM Quantum, IBM T. J. Watson Research Center, Yorktown Heights, 10598, NY, United States","Variational quantum circuits are used in quantum machine learning and variational quantum simulation tasks. Designing good variational circuits or predicting how well they perform for given learning or optimization tasks is still unclear. Here we discuss these problems, analyzing variational quantum circuits using the theory of neural tangent kernels. We define quantum neural tangent kernels, and derive dynamical equations for their associated loss function in optimization and learning tasks. We analytically solve the dynamics in the frozen limit, or lazy training regime, where variational angles change slowly and a linear perturbation is good enough. We extend the analysis to a dynamical setting, including quadratic corrections in the variational angles. We then consider a hybrid quantum classical architecture and define a large-width limit for hybrid kernels, showing that a hybrid quantum classical neural network can be approximately Gaussian. The results presented here show limits for which analytical understandings of the training dynamics for variational quantum circuits, used for quantum machine learning and optimization problems, are possible. These analytical results are supported by numerical simulations of quantum machine-learning experiments.  © 2022 authors. Published by the American Physical Society.","","Quantum chemistry; Dynamical equation; Learning tasks; Linear perturbations; Loss functions; Machine-learning; Optimization task; Quantum circuit; Quantum machines; Quantum simulations; Quantum-classical; Machine learning","J. Liu; Pritzker School of Molecular Engineering, The University of Chicago, Chicago, 60637, United States; email: junyuliu@uchicago.edu","","American Physical Society","26913399","","","","English","PRX. Quantum.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85137239958"
"Tengtrairat N.; Woo W.L.; Parathai P.; Aryupong C.; Jitsangiam P.; Rinchumphu D.","Tengtrairat, Naruephorn (55810198500); Woo, Wai Lok (7005643212); Parathai, Phetcharat (56532007200); Aryupong, Chuchoke (56703401600); Jitsangiam, Peerapong (57205522481); Rinchumphu, Damrongsak (57219602276)","55810198500; 7005643212; 56532007200; 56703401600; 57205522481; 57219602276","Automated Landslide-Risk Prediction Using Web GIS and Machine Learning Models","2021","Sensors (Basel, Switzerland)","21","13","","","","47","10.3390/s21134620","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111831235&doi=10.3390%2Fs21134620&partnerID=40&md5=73ad292ec1d980ede71cdbe1ae642fea","School of Software Engineering, Payap University, 50000, Chiang Mai, Thailand; Department of Computer and Information Sciences, Northumbria University, Newcastle upon Tyne, NE1 8ST, United Kingdom; Center of Excellence for Natural Disaster Management (CENDIM), Chiang Mai University, 50200, Chiang Mai, Thailand; Department of Civil Engineering, Faculty of Engineering, Chiang Mai University, 50200, Chiang Mai, Thailand","Tengtrairat N., School of Software Engineering, Payap University, 50000, Chiang Mai, Thailand; Woo W.L., Department of Computer and Information Sciences, Northumbria University, Newcastle upon Tyne, NE1 8ST, United Kingdom; Parathai P., School of Software Engineering, Payap University, 50000, Chiang Mai, Thailand; Aryupong C., Center of Excellence for Natural Disaster Management (CENDIM), Chiang Mai University, 50200, Chiang Mai, Thailand, Department of Civil Engineering, Faculty of Engineering, Chiang Mai University, 50200, Chiang Mai, Thailand; Jitsangiam P., Center of Excellence for Natural Disaster Management (CENDIM), Chiang Mai University, 50200, Chiang Mai, Thailand, Department of Civil Engineering, Faculty of Engineering, Chiang Mai University, 50200, Chiang Mai, Thailand; Rinchumphu D., Center of Excellence for Natural Disaster Management (CENDIM), Chiang Mai University, 50200, Chiang Mai, Thailand, Department of Civil Engineering, Faculty of Engineering, Chiang Mai University, 50200, Chiang Mai, Thailand","Spatial susceptible landslide prediction is the one of the most challenging research areas which essentially concerns the safety of inhabitants. The novel geographic information web (GIW) application is proposed for dynamically predicting landslide risk in Chiang Rai, Thailand. The automated GIW system is coordinated between machine learning technologies, web technologies, and application programming interfaces (APIs). The new bidirectional long short-term memory (Bi-LSTM) algorithm is presented to forecast landslides. The proposed algorithm consists of 3 major steps, the first of which is the construction of a landslide dataset by using Quantum GIS (QGIS). The second step is to generate the landslide-risk model based on machine learning approaches. Finally, the automated landslide-risk visualization illustrates the likelihood of landslide via Google Maps on the website. Four static factors are considered for landslide-risk prediction, namely, land cover, soil properties, elevation and slope, and a single dynamic factor i.e., precipitation. Data are collected to construct a geospatial landslide database which comprises three historical landslide locations-Phu Chifa at Thoeng District, Ban Pha Duea at Mae Salong Nai, and Mai Salong Nok in Mae Fa Luang District, Chiang Rai, Thailand. Data collection is achieved using QGIS software to interpolate contour, elevation, slope degree and land cover from the Google satellite images, aerial and site survey photographs while the physiographic and rock type are on-site surveyed by experts. The state-of-the-art machine learning models have been trained i.e., linear regression (LR), artificial neural network (ANN), LSTM, and Bi-LSTM. Ablation studies have been conducted to determine the optimal parameters setting for each model. An enhancement method based on two-stage classifications has been presented to improve the landslide prediction of LSTM and Bi-LSTM models. The landslide-risk prediction performances of these models are subsequently evaluated using real-time dataset and it is shown that Bi-LSTM with Random Forest (Bi-LSTM-RF) yields the best prediction performance. Bi-LSTM-RF model has improved the landslide-risk predicting performance over LR, ANNs, LSTM, and Bi-LSTM in terms of the area under the receiver characteristic operator (AUC) scores by 0.42, 0.27, 0.46, and 0.47, respectively. Finally, an automated web GIS has been developed and it consists of software components including the trained models, rainfall API, Google API, and geodatabase. All components have been interfaced together via JavaScript and Node.js tool.","artificial intelligence; geographic information system; google map; landslide risk prediction; linear regression; long short-term memory; machine learning","Geographic Information Systems; Landslides; Machine Learning; Neural Networks, Computer; Thailand; geographic information system; landslide; machine learning; Thailand","","","NLM (Medline)","14248220","","","34283153","English","Sensors (Basel)","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85111831235"
"Shapeev A.V.","Shapeev, Alexander V. (53878508900)","53878508900","Moment tensor potentials: A class of systematically improvable interatomic potentials","2016","Multiscale Modeling and Simulation","14","3","","1153","1173","1253","10.1137/15M1054183","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989347241&doi=10.1137%2F15M1054183&partnerID=40&md5=bb410b6de8d749e79aeae980786fdaed","Skolkovo Institute of Science and Technology, Skolkovo Innovation Center, Building 3, Moscow, 143026, Russian Federation","Shapeev A.V., Skolkovo Institute of Science and Technology, Skolkovo Innovation Center, Building 3, Moscow, 143026, Russian Federation","Density functional theory offers a very accurate way of computing materials properties from first principles. However, it is too expensive for modeling large-scale molecular systems whose properties are, in contrast, computed using interatomic potentials. The present paper considers, from a mathematical point of view, the problem of constructing interatomic potentials that approximate a given quantum-mechanical interaction model. In particular, a new class of systematically improvable potentials is proposed, analyzed, and tested on an existing quantum-mechanical database. © 2016 Societ y for Industrial and Applied Mathematics.","Interatomic potentials; Machine learning; Moment tensor potentials","Computation theory; Density functional theory; Learning systems; Quantum theory; Tensors; First principles; Interatomic potential; Molecular systems; Moment tensors; Quantum mechanical; Materials properties","A.V. Shapeev; Skolkovo Institute of Science and Technology, Skolkovo Innovation Center, Moscow, Building 3, 143026, Russian Federation; email: a.shapeev@skoltech.ru","","Society for Industrial and Applied Mathematics Publications","15403459","","","","English","Multiscale Model. Simul.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84989347241"
"Zheng M.; Luo X.; Shen Q.; Wang Y.; Du Y.; Zhu W.; Jiang H.","Zheng, Mingyue (13407232000); Luo, Xiaomin (7402871196); Shen, Qiancheng (55990610500); Wang, Yong (7601486578); Du, Yun (59604686600); Zhu, Weiliang (7404232989); Jiang, Hualiang (34868049700)","13407232000; 7402871196; 55990610500; 7601486578; 59604686600; 7404232989; 34868049700","Site of metabolism prediction for six biotransformations mediated by cytochromes P450","2009","Bioinformatics","25","10","","1251","1258","114","10.1093/bioinformatics/btp140","https://www.scopus.com/inward/record.uri?eid=2-s2.0-65549103878&doi=10.1093%2Fbioinformatics%2Fbtp140&partnerID=40&md5=fe814b875290f4da1a0dd4627b50dc10","Drug Discovery and Design Center, State Key Laboratory of Drug Research, Chinese Academy of Sciences, Shanghai 201203, 555 Zuchongzhi Road, China; School of Pharmacy, East China University of Science and Technology, Shanghai 200237, China","Zheng M., Drug Discovery and Design Center, State Key Laboratory of Drug Research, Chinese Academy of Sciences, Shanghai 201203, 555 Zuchongzhi Road, China; Luo X., Drug Discovery and Design Center, State Key Laboratory of Drug Research, Chinese Academy of Sciences, Shanghai 201203, 555 Zuchongzhi Road, China; Shen Q., Drug Discovery and Design Center, State Key Laboratory of Drug Research, Chinese Academy of Sciences, Shanghai 201203, 555 Zuchongzhi Road, China; Wang Y., Drug Discovery and Design Center, State Key Laboratory of Drug Research, Chinese Academy of Sciences, Shanghai 201203, 555 Zuchongzhi Road, China; Du Y., Drug Discovery and Design Center, State Key Laboratory of Drug Research, Chinese Academy of Sciences, Shanghai 201203, 555 Zuchongzhi Road, China; Zhu W., Drug Discovery and Design Center, State Key Laboratory of Drug Research, Chinese Academy of Sciences, Shanghai 201203, 555 Zuchongzhi Road, China, School of Pharmacy, East China University of Science and Technology, Shanghai 200237, China; Jiang H., Drug Discovery and Design Center, State Key Laboratory of Drug Research, Chinese Academy of Sciences, Shanghai 201203, 555 Zuchongzhi Road, China, School of Pharmacy, East China University of Science and Technology, Shanghai 200237, China","Motivation: One goal of metabolomics is to define and monitor the entire metabolite complement of a cell, while it is still far from reach since systematic and rapid approaches for determining the biotransformations of newly discovered metabolites are lacking. For drug development, such metabolic biotransformation of a new chemical entity (NCE) is of more interest because it may profoundly affect its bioavailability, activity and toxicity profile. The use of in silico methods to predict the site of metabolism (SOM) in phase I cytochromes P450-mediated reactions is usually a starting point of metabolic pathway studies, which may also assist in the process of drug/lead optimization. Results: This article reports the Cytochromes P450 (CYP450)-mediated SOM prediction for the six most important metabolic reactions by incorporating the use of machine learning and semi-empirical quantum chemical calculations. Non-local models were developed on the basis of a large dataset comprising 1858 metabolic reactions extracted from 1034 heterogeneous chemicals. For validation, the overall accuracies of all six reaction types are higher than 0.81, four of which exceed 0.90. In further receiver operating characteristic (ROC) analyses, each of the SOM model gave a significant area under curve (AUC) value over 0.86, indicating a good predicting power. An external test was made on a previously published dataset, of which 80% of the experimentally observed SOMs can be correctly identified by applying the full set of our SOM models. © The Author 2009. Published by Oxford University Press. All rights reserved.","","Biotransformation; Computational Biology; Cytochrome P-450 Enzyme System; Drug Design; Metabolic Networks and Pathways; Metabolomics; cytochrome P450; accuracy; article; biotransformation; computer analysis; computer program; enzyme mechanism; machine learning; metabolomics; prediction; priority journal; quantum chemistry; receiver operating characteristic; structural bioinformatics","H. Jiang; Drug Discovery and Design Center, State Key Laboratory of Drug Research, Shanghai Institute of Materia Medica, Shanghai 201203, 555 Zuchongzhi Road, China; email: xmluo@mail.shcnc.ac.cn","","","14602059","","BOINF","19286831","English","Bioinformatics","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-65549103878"
"Nolan S.; Smerzi A.; Pezzè L.","Nolan, Samuel (57113109100); Smerzi, Augusto (7003458645); Pezzè, Luca (9841030600)","57113109100; 7003458645; 9841030600","A machine learning approach to Bayesian parameter estimation","2021","npj Quantum Information","7","1","169","","","50","10.1038/s41534-021-00497-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122147547&doi=10.1038%2Fs41534-021-00497-w&partnerID=40&md5=d99343a3df99181a19424fbda874fe3c","QSTAR, INO-CNR and LENS, Largo Enrico Fermi 2, Firenze, 50125, Italy","Nolan S., QSTAR, INO-CNR and LENS, Largo Enrico Fermi 2, Firenze, 50125, Italy; Smerzi A., QSTAR, INO-CNR and LENS, Largo Enrico Fermi 2, Firenze, 50125, Italy; Pezzè L., QSTAR, INO-CNR and LENS, Largo Enrico Fermi 2, Firenze, 50125, Italy","Bayesian estimation is a powerful theoretical paradigm for the operation of the approach to parameter estimation. However, the Bayesian method for statistical inference generally suffers from demanding calibration requirements that have so far restricted its use to systems that can be explicitly modeled. In this theoretical study, we formulate parameter estimation as a classification task and use artificial neural networks to efficiently perform Bayesian estimation. We show that the network’s posterior distribution is centered at the true (unknown) value of the parameter within an uncertainty given by the inverse Fisher information, representing the ultimate sensitivity limit for the given apparatus. When only a limited number of calibration measurements are available, our machine-learning-based procedure outperforms standard calibration methods. Our machine-learning-based procedure is model independent, and is thus well suited to “black-box sensors”, which lack simple explicit fitting models. Thus, our work paves the way for Bayesian quantum sensors that can take advantage of complex nonclassical quantum states and/or adaptive protocols. These capabilities can significantly enhance the sensitivity of future devices. © 2021, The Author(s).","","Calibration; Fisher information matrix; Inverse problems; Learning algorithms; Machine learning; Neural networks; Parameter estimation; Quantum theory; Bayesian estimations; Bayesian methods; Bayesian parameter estimation; Classification tasks; Machine learning approaches; Parameters estimation; Posterior distributions; Statistical inference; Theoretical study; Unknown values; Bayesian networks","A. Smerzi; QSTAR, INO-CNR and LENS, Firenze, Largo Enrico Fermi 2, 50125, Italy; email: augusto.smerzi@ino.it; L. Pezzè; QSTAR, INO-CNR and LENS, Firenze, Largo Enrico Fermi 2, 50125, Italy; email: luca.pezze@ino.it","","Nature Research","20566387","","","","English","npj Quantum Inf.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85122147547"
"Lu S.; Braunstein S.L.","Lu, Songfeng (7404227579); Braunstein, Samuel L. (7006840539)","7404227579; 7006840539","Quantum decision tree classifier","2014","Quantum Information Processing","13","3","","757","770","116","10.1007/s11128-013-0687-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894042933&doi=10.1007%2Fs11128-013-0687-5&partnerID=40&md5=53fc73794a91ace316df43296fd2cedd","School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan 430074, China; Department of Computer Science, University of York, York YO10 5GH, United Kingdom","Lu S., School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan 430074, China; Braunstein S.L., Department of Computer Science, University of York, York YO10 5GH, United Kingdom","We study the quantum version of a decision tree classifier to fill the gap between quantum computation and machine learning. The quantum entropy impurity criterion which is used to determine which node should be split is presented in the paper. By using the quantum fidelity measure between two quantum states, we cluster the training data into subclasses so that the quantum decision tree can manipulate quantum states. We also propose algorithms constructing the quantum decision tree and searching for a target class over the tree for a new quantum object. © 2013 Springer Science+Business Media New York.","Machine learning; Quantum classification; Quantum decision tree; Quantum entropy; Quantum information processing","Artificial intelligence; Decision trees; Entropy; Learning systems; Quantum computers; Quantum optics; Decision tree classifiers; Entropy impurity; Machine-learning; Quantum classification; Quantum decision trees; Quantum entropy; Quantum fidelity; Quantum information processing; Quantum state; Training data; Classification (of information)","S. Lu; School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan 430074, China; email: lusongfeng@hotmail.com","","","15700755","","","","English","Quantum Inf. Process.","Article","Final","","Scopus","2-s2.0-84894042933"
