"",id,abstract
9,4290026,"Ensuring the safety, reliability, and longevity of Lithium-ion (Li-ion) batteries is crucial for sustainable integration of Electric Vehicles (EVs) within Intelligent Transportation Systems (ITSs). However, thermal stress and degradation-induced anomalies can cause sudden performance failures, posing critical operational and safety risks. Capturing complex, non-linear, and high-dimensional patterns remains challenging for traditional Machine Learning (ML) models. We propose a hybrid anomaly detection method that incorporates a Variational Quantum Neural Network (VQNN), which uses the principles of quantum mechanics, such as superposition, entanglement, and parallelism, to learn complex non-linear patterns. The VQNN is integrated with Isolation Forest (IF) and a Median Absolute Deviation (MAD)-based spike characterisation method to form a Quantum Anomaly Detector (QAD). This method distinguishes between normal and anomalous spikes in battery behaviour. Using an Arrhenius-based model, we simulate how the State of Health (SoH) and voltage of a Li-ion battery reduce as temperatures increase. We perform experiments on NASA battery datasets and detect abnormal spikes in 14 out of 168 cycles, corresponding to (Formula presented.) % of the cycles. The QAD achieves the highest Receiver Operating Characteristic Area Under the Curve (ROC-AUC) of (Formula presented.), outperforming the baseline IF model by (Formula presented.). We use ML to predict the SoH and voltage changes when the temperature varies. Gradient Boosting (GB) achieves a voltage Mean Squared Error (MSE) of (Formula presented.), while Support Vector Regression (SVR) achieves the highest (Formula presented.) score of (Formula presented.). These processing demonstrate that Quantum Machine Learning (QML) can be applied for anomaly detection in Battery Management Systems (BMSs) within intelligent transportation ecosystems and could enable EVs to autonomously adapt their routing and schedule preventative maintenance. With these capabilities, safety will be improved, downtime minimised, and public confidence in sustainable transport technologies increased. © 2025 by the authors."
175,4289647,"Quantum neural networks have emerged as a promising approach to solving complex problems across various domains, especially when integrated with classical methods. Several hybrid quantum-classical architectures have been developed to leverage the potential of quantum advantages for image classification tasks. The design of the quantum layer plays an important role in exploiting quantum properties such as superposition and entanglement. In this research, we propose hybrid quantum neural networks with multiple quantum layers, utilizing sequential circuits for enhanced feature representation through structured depth, and non-sequential circuits to reduce complexity and improve performance. Our experimental processing demonstrate that stacking multiple layers in the quantum circuit enhances performance significantly. Furthermore, the processing indicate that the optimal range of 6–10 qubits achieves the best trade-off between accuracy and computational efficiency. The processing also show that amplitude embedding consistently outperformed angle embedding for image classification tasks. Notably, our proposed hybrid sequential model with amplitude embedding outperforms traditional convolutional neural networks on MNIST and Fashion-MNIST datasets, while requiring fewer parameters. These findings provide valuable insights for advancing quantum machine learning in real-world applications. © The Author(s) 2025."
30,4289991,"Quantum machine learning (QML) is a method for analyzing vast volumes of health data, identifying possible higher-order interactions in medicine, and improving the accuracy of smart healthcare diagnosis and treatment. This paper presents a novel hybrid framework that integrates Inception-based Attentional VGG (IAV) with a Quantum Variational Classifier (QVC) and Parameterized Quantum Circuits (PQCs) for large-scale healthcare data analysis. Unlike existing models that face scalability, noise sensitivity, and high computational cost, the proposed approach combines deep learning feature extraction with quantum-enhanced classification to improve efficiency and accuracy. QML large-scale data are pre-processed with min-max normalization algorithms, which place feature values into a fixed range of uniformity and facilitate convergence learning. To extract features from pre-processed large-scale medical data analysis, Inception-based Attentional VGG is used. The quantum variational classifier is then utilized to categorize large-scale data in the classification method. Then, parameterized quantum circuits use a classical optimizer to get information about quantum measurements of parameters in tunable quantum functions. This model makes use of a dataset, namely the MIMIC-III clinical dataset, which is used to collect vast amounts of data for clinical health patients. The proposed model is then utilized to assess the performance of metrics like accuracy, precision, recall, and the F1 score. Experimental processing show that the proposed approach achieves an accuracy of 98.76%, precision of 98.64%, recall of 98.12%, and F1-score of 98.86%, outperforming existing models such as SVM (89.23% accuracy), QSVM (90.13%), and QVKSVM (97.34%). These processing demonstrate that the proposed hybrid QML–DL framework effectively handles high-dimensional clinical data, reduces computational overhead, and provides a strong foundation for next-generation healthcare analytics. © 2025"
69,4289914,"Skin diseases affect millions of people worldwide, leading to significant healthcare burdens and challenges in diagnosis and treatment. In the past few years, machine learning techniques have demonstrated potential in assisting dermatologists with diagnosing various skin conditions. As in, conventional machine learning algorithms might encounter challenges in handling the complexity and distinction of skin disease classification tasks, primarily because of the intricate nature of medical image data with its high dimensional properties. In this work, the main analysis is done based on exploring quantum machine learning models for skin disease classification. This approach blends with the aspects of quantum computing with the conventional machine learning techniques to push the boundaries of skin disease classification. This work harnesses the HAM10000 dataset, an extensive compilation of categorized images portraying common skin lesions, to train and assess the efficacy of the proposed methodologies. Quantum computing libraries such as PennyLane and Qiskit is used in this study. Using different combination of qubit rotation encoding and decoding using three types of Pauli gates such as Pauli X, Y and Z gates are implemented and compared using proposed Quanvolutional neural network. Features extracted using MobileNet pre-trained network is used to build Quantum support vector classifier. These quantum machine learning models are compared with some well-known pre-trained models such as Resnet50, Inception-Resnet, Densenet121, DenseNet201 and MobileNet. The combination of RY qubit rotation and PauliZ gate in quantum convolution layer in Quanvolutional neural network produced the optimal classification accuracy of 82.86% more than any other models included in this study. In contrast, Quantum Support Vector Classifier produced similar classification accuracy of 72.5% with respect to pre-trained models.  © 2013 IEEE."
96,4289850,"The emerging paradigm of quantum machine learning (QML) combines features of quantum computing and machine learning (ML). QML enables the generation and recognition of statistical data patterns that classical computers and classical ML methods struggle to effectively execute. QML utilizes quantum systems to enhance algorithmic computation speed and real-time data processing capabilities, making it one of the most promising tools in the field of ML. Quantum superposition and entanglement features also hold the promise to potentially expand the potential feature representation capabilities of ML. Therefore, in this study, we explore how quantum computing affects ML and whether it can further improve the detection performance on network traffic detection, especially on unseen attacks which are types of malicious traffic that do not exist in the ML training dataset. Classical ML models often perform poorly in detecting these unseen attacks because they have not been trained on such traffic. Hence, this paper focuses on designing and proposing novel hybrid structures of quantum convolutional neural network (QCNN) to achieve the detection of malicious traffic. The detection performance, generalization, and robustness of the QML solutions are evaluated and compared with classical ML running on classical computers. The emphasis lies in assessing whether the QML-based malicious traffic detection outperforms classical solutions. Based on experiment processing, QCNN models demonstrated superior performance compared to classical ML approaches on unseen attack detection. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2025."
144,4289744,"Quantum machine learning is a relatively new research field that aims to combine the dramatic performance advantage offered by quantum computing and the ability of machine learning algorithms to learn complex distributions of high-dimensional data. The primary focus of this domain is the implementation of classical machine learning algorithms in the quantum mechanical domain and study of the speedup due to quantum parallelism, which could enable the development of novel techniques for solving problems such as quantum phase recognition and quantum error correction optimization. In this paper, we propose a hybrid quantum machine learning pipeline for predicting the atomization energies of various molecules using the nuclear charges and atomic positions of the constituent atoms. Firstly, we will be using a deep convolutional auto-encoder model for the feature extraction of data constructed from the eigenvalues and eigenvector centralities of the pairwise distance matrix calculated from atomic positions and the unrolled upper triangle of each Coulomb matrix calculated from nuclear charges, and we will then be using a quantum regression algorithm such as quantum linear regression, quantum radial basis function neural network and, a quantum neural network for estimating the atomization energy. The hybrid quantum neural network models do not seem to provide any speedup over their classical counterparts. Before implementing a quantum algorithm, we will also be using state-of-the-art classical machine learning and deep learning models such as XGBoost, multilayer perceptron, deep convolutional neural network, and a long short-term memory network to study the correlation between the extracted features and corresponding atomization energies of molecules.  © 2021 The Author(s)."
135,4289770,"Quantum computing, with its unique principles such as superposition and entanglement, promises to transform various domains, including artificial intelligence. This study investigates the fusion of quantum computing with contemporary AI technologies through quantum transfer learning. We introduce the Complex Quantum Kernel Self-Attention Network (CQKSAN), a novel model that leverages quantum circuits and self-attention mechanisms to boost text classification performance. By applying quantum transfer learning, CQKSAN harnesses the strengths of pre-trained classical models and enhances them with quantum capabilities. Experimental processing on multiple binary classification datasets demonstrate that CQKSAN achieves a more efficient learning process. Specifically, it improves training accuracy and validation accuracy by up to 24.31% and 28.35%, respectively, and increases the Matthews Correlation Coefficient by 113.10%. Moreover, CQKSAN consistently outperforms the BERT baseline in both training and validation accuracy across various datasets, showcasing its strong learning capability and generalization performance in handling tasks with diverse linguistic structures and complex semantics. Our findings underscore the potential of hybrid quantum-classical approaches, while also identifying the current limitations and paving the way for future research in fully quantum-based learning systems. © IEEE. 2013 IEEE."
70,4289912,"Electroencephalography (EEG) is widely used in neuroscience and clinical research for analyzing brain activity. While deep learning models such as EEGNet have shown success in decoding EEG signals, they often struggle with data complexity, inter-subject variability, and noise robustness. Recent advancements in quantum machine learning (QML) offer new opportunities to enhance EEG analysis by leveraging quantum computing’s unique properties. In this study, we extend the previously proposed Quantum-EEGNet (QEEGNet), a hybrid neural network incorporating quantum layers into EEGNet, to investigate its generalization ability across multiple EEG datasets. Our evaluation spans a diverse set of cognitive and motor task datasets, assessing QEEGNet’s performance in different learning scenarios. Experimental processing reveal that while QEEGNet demonstrates competitive performance and maintains robustness in certain datasets, its improvements over traditional deep learning methods remain inconsistent. These findings suggest that hybrid quantum-classical architectures require further optimization to fully leverage quantum advantages in EEG processing. Despite these limitations, our study provides new insights into the applicability of QML in EEG research and highlights challenges that must be addressed for future advancements. © The Author(s) 2025."
115,4289813,"Quantum Machine Learning represents a promising approach to address complex computational challenges beyond classical computing capabilities. In this study, we investigate its application to healthcare, focusing specifically on the classification of cardiovascular diseases. Classical Machine Learning methods often struggle with high-dimensional data, resulting in limited accuracy and reduced generalization, especially in real-world medical scenarios. To overcome these issues, we propose a Hybrid Quantum-Neural Network that combines classical Autoencoders for dimensionality reduction with Quantum Neural Networks, facilitating effective data processing compatible with current NISQ hardware. Evaluated on the Cleveland dataset, our HQNN achieves state-of-the-art classification accuracy up to 90.98%, outperforming purely classical counterparts by capturing complex feature relationships in the quantum domain. We further demonstrate the effectiveness of the proposed HQNN model in scenarios characterized by limited training data and realistic noisy quantum environments, performing robustness analyses and simulations using IBM's quantum hardware framework. These findings highlight the practical advantages of our Hybrid Quantum-Neural Network, underscoring its suitability and immediate applicability for real-world healthcare scenarios. The code is made publicly available. © 2025 The Authors"
156,4289718,"Image classification has an important role in many machine learning applications. Numerous classification techniques based on quantum machine learning have been reported recently. In this article, we investigate the features of the quanvolutional neural network—a hybrid quantum-classical image classification technique, which is inspired by the convolutional neural network and has the potential to outperform current image processing techniques. We improve the training strategy and evaluate the classification tasks on three traditional public datasets in terms of different topologies, sizes, and depths of filters. Finally, we propose four efficient configurations for the quanvolutional neural network to improve image classification. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2024."
