"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Ma H.; Ye L.; Guo X.; Ruan F.; Zhao Z.; Li M.; Wang Y.; Yang J.","Ma, Haoran (57681348700); Ye, Liao (57566243400); Guo, Xiaoqing (57202650493); Ruan, Fanjie (58787865500); Zhao, Zichao (58201908500); Li, Maohui (58738526700); Wang, Yuehai (24345651800); Yang, Jianyi (10138917300)","57681348700; 57566243400; 57202650493; 58787865500; 58201908500; 58738526700; 24345651800; 10138917300","Quantum Generative Adversarial Networks in a Silicon Photonic Chip with Maximum Expressibility","2026","Advanced Quantum Technologies","9","2","2400171","","","6","10.1002/qute.202400171","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205066915&doi=10.1002%2Fqute.202400171&partnerID=40&md5=b7926305ae383a2e215b017b6ce4691a","College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, 310027, China","Ma H., College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, 310027, China; Ye L., College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, 310027, China; Guo X., College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, 310027, China; Ruan F., College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, 310027, China; Zhao Z., College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, 310027, China; Li M., College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, 310027, China; Wang Y., College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, 310027, China; Yang J., College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, 310027, China","Generative adversarial networks (GANs) have achieved remarkable success with realistic tasks such as creating realistic images, texts, and audio. Combining GANs and quantum computing, quantum GANs are thought to have an exponential advantage over their classical counterparts due to the stronger expressibility of quantum circuits. In this research, a two-qubit silicon quantum photonic chip is created, capable of executing arbitrary controlled-unitary ((Formula presented.)) operations and generating any two-qubit pure state, thus making it an excellent platform for quantum GANs. To capture complex data patterns, a hybrid generator is proposed to inject nonlinearity into quantum GANs. As a demonstration, three generative tasks, covering both pure quantum versions of GANs (PQ-GANs) and hybrid quantum-classical GANs (HQC-GANs), are successfully carried out on the chip, including high-fidelity single-qubit state learning, classical distributions loading, and compressed image production. The experiment results prove that silicon quantum photonic chips have great potential in generative learning applications. © 2024 Wiley-VCH GmbH.","quantum generative adversarial network; quantum machine learning; silicon photonic","Adversarial machine learning; Image compression; Photonic devices; Photonic integrated circuits; Quantum electronics; Quantum optics; Qubits; Silicon photonics; Adversarial networks; Expressibility; Machine-learning; Photonic chips; Quantum generative adversarial network; Quantum machine learning; Quantum machines; Quantum photonics; Silicon photonics; Two-qubit; Generative adversarial networks","J. Yang; College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, 310027, China; email: yangjy@zju.edu.cn","","John Wiley and Sons Inc","25119044","","","","English","Adv. Quant. Tech.","Article","Final","","Scopus","2-s2.0-85205066915"
"Singh J.N.; Sharma M.; Singh R.; Lakshmi G.V.R.; Bafna M.; Sirohi N.","Singh, Jitendra Nath (57925424500); Sharma, Meenakshi (56287966900); Singh, Ramendra (57213969823); Lakshmi, Gundala Venkata Rama (59547695200); Bafna, Minal (36187958700); Sirohi, Neeraj (59020386100)","57925424500; 56287966900; 57213969823; 59547695200; 36187958700; 59020386100","Quantum machine learning: Exploring the nexus of quantum computing and intelligent algorithms","2025","Advances in Computers","138","","","325","347","0","10.1016/bs.adcom.2025.03.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003308973&doi=10.1016%2Fbs.adcom.2025.03.007&partnerID=40&md5=84e026071742502464b04b28dc99055a","Department of CSE, Galgotias University Greater Noida, Greater Noida, India; Department of ECE, Inderprastha Engineering College, Ghaziabad, India; Department of CSE(IOT), Raj Kumar Goel Institute of Technology, Ghaziabad, India; Department of CSE, CVR College of Engineering, Hyderabad, India; Department of Physics, Agrawal P G College, Jaipur, India; Department of Information Technology, IMS Engineering College, Ghaziabad, India","Singh J.N., Department of CSE, Galgotias University Greater Noida, Greater Noida, India; Sharma M., Department of ECE, Inderprastha Engineering College, Ghaziabad, India; Singh R., Department of CSE(IOT), Raj Kumar Goel Institute of Technology, Ghaziabad, India; Lakshmi G.V.R., Department of CSE, CVR College of Engineering, Hyderabad, India; Bafna M., Department of Physics, Agrawal P G College, Jaipur, India; Sirohi N., Department of Information Technology, IMS Engineering College, Ghaziabad, India","This research focusses into the interaction between Quantum Machine Learning (QML) and weather forecasting, exploring the effectiveness of Quantum Support Vector Machines (QSVM), Quantum Neural Networks (QNN), and Quantum Principal Component Analysis (QPCA). Through a rigorous performance assessment, critical criteria such as Algorithm Accuracy, Computational Speed, and Robustness to Noise are assessed during numerous trials. Results reveal the astonishing accuracy of QSVM in spotting tiny atmospheric patterns, coupled with faster computation speed, signaling a paradigm change in data processing. QNN and QPCA also demonstrate competitive performance, highlighting the promise of quantum algorithms in generating fast and trustworthy weather predictions. The resistance to noise exhibited by these algorithms further shows their practical importance. Our research advances our understanding of how quantum algorithms could improve the accuracy and efficiency of weather forecasting, opening the door for revolutionary applications in weather science and decision-making as quantum computing grows. © 2025","Algorithm accuracy; Computational speed; Quantum algorithms; Quantum machine learning; Weather forecasting","","J.N. Singh; Department of CSE, Galgotias University Greater Noida, Greater Noida, India; email: singhjn2000@gmail.com","","Academic Press Inc.","00652458","978-032391478-9","","","English","Adv. Comput.","Article","Final","","Scopus","2-s2.0-105003308973"
"Nguyen N.; Chen K.-C.","Nguyen, Nam (58591900300); Chen, Kwang-Cheng (7410240104)","58591900300; 7410240104","Quantum Embedding Search for Quantum Machine Learning","2022","IEEE Access","10","","","41444","41456","40","10.1109/ACCESS.2022.3167398","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128281184&doi=10.1109%2FACCESS.2022.3167398&partnerID=40&md5=7a55334b730f029655014df9403ec347","Department of Electrical Engineering, University of South Florida, Tampa, 33620, FL, United States","Nguyen N., Department of Electrical Engineering, University of South Florida, Tampa, 33620, FL, United States; Chen K.-C., Department of Electrical Engineering, University of South Florida, Tampa, 33620, FL, United States","This paper introduces an automated search algorithm (QES, pronounced as 'quest'), which derives optimal design of entangling layout for supervised quantum machine learning. First, we establish the connection between the structures of entanglement using CNOT gates and the representations of directed multi-graphs, enabling a well-defined search space. The proposed encoding scheme of quantum entanglement as genotype vectors bridges the ansatz optimization and classical machine learning, allowing efficient search on any well-defined search space. Second, we instigate the entanglement level to reduce the cardinality of the search space to a feasible size for practical implementations. Finally, we mitigate the cost of evaluating the true loss function by using surrogate models via sequential model-based optimization. We demonstrate the feasibility of our proposed approach on simulated and bench-marking datasets, including Iris, Wine and Breast Cancer datasets, which empirically shows that found quantum embedding architecture by QES outperforms manual designs in term of the predictive performance.  © 2013 IEEE.","Ansatz optimization; quantum computing; quantum embeddings; quantum logic gates; quantum machine learning; quantum neural network","Artificial intelligence; Computation theory; Computer circuits; Directed graphs; Integrated circuits; Learning systems; Quantum computers; Quantum entanglement; Quantum optics; Timing circuits; Vector spaces; Ansatz optimization; Computational modelling; Embeddings; Integrated circuit modeling; Machine-learning; Optimisations; Quantum Computing; Quantum embedding; Quantum logic gate; Quantum machine learning; Quantum machines; Search problem; Computer architecture","K.-C. Chen; Department of Electrical Engineering, University of South Florida, Tampa, 33620, United States; email: kwangcheng@usf.edu","","Institute of Electrical and Electronics Engineers Inc.","21693536","","","","English","IEEE Access","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85128281184"
"Lo Monaco G.; Bertini M.; Lorenzo S.; Massimo Palma G.","Lo Monaco, Gabriele (57203892387); Bertini, Marco (59869227700); Lorenzo, Salvatore (53363937900); Massimo Palma, G. (7005868408)","57203892387; 59869227700; 53363937900; 7005868408","Quantum extreme learning of molecular potential energy surfaces and force fields","2024","Machine Learning: Science and Technology","5","3","035014","","","7","10.1088/2632-2153/ad6120","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199154449&doi=10.1088%2F2632-2153%2Fad6120&partnerID=40&md5=b81ddf8fecbab7febe9854e82ed3bad7","Università degli Studi di Palermo, Dipartimento di Fisica e Chimica—Emilio Segrè, via Archirafi 36, Palermo, I-90123, Italy; NEST, Istituto Nanoscienze-CNR, Piazza S. Silvestro 12, Pisa, 56127, Italy","Lo Monaco G., Università degli Studi di Palermo, Dipartimento di Fisica e Chimica—Emilio Segrè, via Archirafi 36, Palermo, I-90123, Italy; Bertini M., Università degli Studi di Palermo, Dipartimento di Fisica e Chimica—Emilio Segrè, via Archirafi 36, Palermo, I-90123, Italy; Lorenzo S., Università degli Studi di Palermo, Dipartimento di Fisica e Chimica—Emilio Segrè, via Archirafi 36, Palermo, I-90123, Italy; Massimo Palma G., Università degli Studi di Palermo, Dipartimento di Fisica e Chimica—Emilio Segrè, via Archirafi 36, Palermo, I-90123, Italy, NEST, Istituto Nanoscienze-CNR, Piazza S. Silvestro 12, Pisa, 56127, Italy","Quantum machine learning algorithms are expected to play a pivotal role in quantum chemistry simulations in the immediate future. One such key application is the training of a quantum neural network to learn the potential energy surface and force field of molecular systems. We address this task by using the quantum extreme learning machine paradigm. This particular supervised learning routine allows for resource-efficient training, consisting of a simple linear regression performed on a classical computer. We have tested a setup that can be used to study molecules of any dimension and is optimized for immediate use on NISQ devices with a limited number of native gates. We have applied this setup to three case studies: lithium hydride, water, and formamide, carrying out both noiseless simulations and actual implementation on IBM quantum hardware. Compared to other supervised learning routines, the proposed setup requires minimal quantum resources, making it feasible for direct implementation on quantum platforms, while still achieving a high level of predictive accuracy compared to simulations. Our encouraging results pave the way towards the future application to more complex molecules, being the proposed setup scalable. © 2024 The Author(s). Published by IOP Publishing Ltd.","computations on NISQ device; quantum chemistry; quantum extreme learning machine; quantum machine learning","Amides; Hydrides; Learning algorithms; Lithium compounds; Machine learning; Molecules; Potential energy; Potential energy surfaces; Simulation platform; Computation on NISQ device; Forcefields; Learning machines; Machine-learning; Molecular potential energies; Potential-energy surfaces; Quantum extreme learning machine; Quantum machine learning; Quantum machines; Surface field; Quantum chemistry","G. Lo Monaco; Università degli Studi di Palermo, Dipartimento di Fisica e Chimica—Emilio Segrè, Palermo, via Archirafi 36, I-90123, Italy; email: gabriele.lomonaco@unipa.it","","Institute of Physics","26322153","","","","English","Mach. Learn.: Sci. Technol.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85199154449"
"Repetto V.; Ceroni E.G.; Buonaiuto G.; D’Aurizio R.","Repetto, Valeria (57224996797); Ceroni, Elia Giuseppe (57876656100); Buonaiuto, Giuseppe (57192187099); D’Aurizio, Romina (59933597200)","57224996797; 57876656100; 57192187099; 59933597200","Quantum enhanced stratification of breast cancer: exploring quantum expressivity for real omics data","2025","Quantum Machine Intelligence","7","2","81","","","2","10.1007/s42484-025-00289-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012746789&doi=10.1007%2Fs42484-025-00289-x&partnerID=40&md5=0dda8982dfde5c2ebd8fc522cef18891","Institute of Informatics and Telematics (IIT), National Research Council of Italy (CNR), via Giuseppe Moruzzi 1, Pisa, 56124, Italy; Computational Biomedicine Unit, Department of Medical Sciences, University of Turin, Via Santena 19, Turin, 10123, Italy; Department of Information Engineering and Mathematical Sciences, Via Roma 56, Siena, 53100, Italy; Institute for High Performance Computing and Networking (ICAR), National Research Council of Italy (CNR), Via Pietro Castellino, Naples, 80131, Italy","Repetto V., Institute of Informatics and Telematics (IIT), National Research Council of Italy (CNR), via Giuseppe Moruzzi 1, Pisa, 56124, Italy, Computational Biomedicine Unit, Department of Medical Sciences, University of Turin, Via Santena 19, Turin, 10123, Italy; Ceroni E.G., Institute of Informatics and Telematics (IIT), National Research Council of Italy (CNR), via Giuseppe Moruzzi 1, Pisa, 56124, Italy, Department of Information Engineering and Mathematical Sciences, Via Roma 56, Siena, 53100, Italy; Buonaiuto G., Institute for High Performance Computing and Networking (ICAR), National Research Council of Italy (CNR), Via Pietro Castellino, Naples, 80131, Italy; D’Aurizio R., Institute of Informatics and Telematics (IIT), National Research Council of Italy (CNR), via Giuseppe Moruzzi 1, Pisa, 56124, Italy","Quantum machine learning (QML) is considered one of the most promising applications of quantum computing in the noisy intermediate-scale quantum (NISQ) era for the impact it is thought to have in the near future. Although promising theoretical assumptions, the exploration of how QML could foster new discoveries in medicine and biology fields is still in its infancy with few examples. In this study, we aim to assess whether quantum kernels (QK) could effectively classify subtypes of breast cancer (BC) patients based on molecular characteristics. We performed a heuristic exploration of encoding configurations with different entanglement levels to determine a trade-off between kernel expressivity and performances. Our results show that QKs yield comparable clustering results with classical methods while using fewer data points and are able to fit the data with a higher number of clusters. Additionally, we conducted the experiments on the quantum processing unit (QPU) to evaluate the effect of noise on the outcome. We found that less expressive encodings showed a higher resilience to noise, indicating that the computational pipeline can be reliably implemented on NISQ devices. Our findings suggest that QK methods show promises for application in precision oncology, especially in scenarios where the dataset is limited in size and a granular non-trivial stratification of complex molecular data cannot be achieved classically. © The Author(s) 2025.","Breast cancer; Clustering; Quantum kernel; Quantum machine learning","Artificial intelligence; Diseases; Encoding (symbols); Learning systems; Quantum computers; Quantum entanglement; Signal encoding; 'omics'; Breast Cancer; Cancer patients; Clusterings; Machine-learning; Molecular characteristics; Quantum Computing; Quantum kernel; Quantum machine learning; Quantum machines; Economic and social effects","R. D’Aurizio; Institute of Informatics and Telematics (IIT), National Research Council of Italy (CNR), Pisa, via Giuseppe Moruzzi 1, 56124, Italy; email: romina.daurizio@iit.cnr.it","","Springer Science and Business Media Deutschland GmbH","25244906","","","","English","Quantum Mach. Intell.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105012746789"
"Higino Meneguitte Alves V.; Fortes Infante Gomes R.; Cury A.","Higino Meneguitte Alves, Victor (59644697100); Fortes Infante Gomes, Raphael (58299894400); Cury, Alexandre (35221434500)","59644697100; 58299894400; 35221434500","New perspectives on structural health monitoring using unsupervised quantum machine learning","2025","Mechanical Systems and Signal Processing","229","","112489","","","8","10.1016/j.ymssp.2025.112489","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218626937&doi=10.1016%2Fj.ymssp.2025.112489&partnerID=40&md5=9550d42525f56c7afdaba70fdcd9da0b","Graduate Program in Civil Engineering, Faculty of Engineering, University of Juiz de Fora, Minas Gerais, Juiz de Fora, Brazil; Federal University of Latin American Integration, Paraná, Foz do Iguaçu, Brazil","Higino Meneguitte Alves V., Graduate Program in Civil Engineering, Faculty of Engineering, University of Juiz de Fora, Minas Gerais, Juiz de Fora, Brazil; Fortes Infante Gomes R., Federal University of Latin American Integration, Paraná, Foz do Iguaçu, Brazil; Cury A., Graduate Program in Civil Engineering, Faculty of Engineering, University of Juiz de Fora, Minas Gerais, Juiz de Fora, Brazil","This study presents a novel approach using unsupervised Quantum Machine Learning (QML) for Structural Health Monitoring (SHM). The proposed methodology involves extracting features from raw acceleration signals and encoding them into quantum states for a subsequent analysis in a quantum classifier. By training the model with known intact scenarios, an anomaly score function is evaluated to identify deviations from normal behavior aiming to detect potential structural anomalies. The framework is validated through experimental applications on a two-story laboratory frame and on a real-scale railway bridge, demonstrating encouraging results in anomaly detection, localization, and quantification. Through experimentation and numerical analyses, this study advances on the edge of SHM research, laying the foundation for future exploration at the intersection of Quantum Computing and Civil Engineering. © 2025 Elsevier Ltd","Damage detection; Quantum Computing; Quantum Machine Learning; Structural Health Monitoring; Unsupervised learning","Acceleration signals; Encodings; Extracting features; Health monitoring; Machine-learning; Quantum Computing; Quantum machine learning; Quantum machines; Quantum state; Structural health","A. Cury; Graduate Program in Civil Engineering, Faculty of Engineering, University of Juiz de Fora, Juiz de Fora, Minas Gerais, Brazil; email: alexandre.cury@ufjf.br","","Academic Press","08883270","","MSSPE","","English","Mech Syst Signal Process","Article","Final","","Scopus","2-s2.0-85218626937"
"Wang Y.; Wang Y.; Chen C.; Jiang R.; Huang W.","Wang, Yunqian (57201779541); Wang, Yufeng (57790606700); Chen, Chao (57547967800); Jiang, Runcai (57791267900); Huang, Wei (56195325600)","57201779541; 57790606700; 57547967800; 57791267900; 56195325600","Development of variational quantum deep neural networks for image recognition","2022","Neurocomputing","501","","","566","582","42","10.1016/j.neucom.2022.06.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133809606&doi=10.1016%2Fj.neucom.2022.06.010&partnerID=40&md5=b6ba67cfb1acf8fe9d2c29327aba7854","School of Mathematics and Computer Sciences, Nanchang University, Nanchang, 330031, China","Wang Y., School of Mathematics and Computer Sciences, Nanchang University, Nanchang, 330031, China; Wang Y., School of Mathematics and Computer Sciences, Nanchang University, Nanchang, 330031, China; Chen C., School of Mathematics and Computer Sciences, Nanchang University, Nanchang, 330031, China; Jiang R., School of Mathematics and Computer Sciences, Nanchang University, Nanchang, 330031, China; Huang W., School of Mathematics and Computer Sciences, Nanchang University, Nanchang, 330031, China","Parametrized quantum circuits are widely used for supervised learning tasks such as image classification in the noisy intermediate scale quantum era. However, normally, it can only handle low-dimensional data. This study presented a variational quantum deep neural network (VQDNN) model for various scale image recognition tasks. Three classifiers were designed to verify the classification performance of the proposed VQDNN model. In the first classifier, to accommodate the limitations of qubits in both simulation hardware and real quantum hardware – we adopted hybrid principal component analysis – VQDNN architecture. Moreover, the amplitude encoding scheme and the rotation angle coding scheme were employed in the subsequent two classifiers to handle large-size images. Finally, we used the classical neural network and VQDNN model to conduct a comparative experiment of the ten-label classification learning task on the same dataset. The quantum numerical experiment was implemented on two benchmark datasets: the MNIST and UCI databases of handwritten digits. The simulation results showed that the proposed VQDNN classified the two datasets with an accuracy of 100% for the two-class classification task, while the UCI dataset has an accuracy of 90.87% for the ten-label classification task. The proposed VQDNN achieved better classification accuracy than the original classical neural network even under a limited number of qubits available in current hardware, indicating the promising application potential of VQDNN in image recognition. © 2022 Elsevier B.V.","Parametrized quantum circuit; Quantum computation; Quantum deep neural network; Quantum machine learning; Variational quantum algorithms","Classification (of information); Image classification; Image coding; Image recognition; Neural network models; Principal component analysis; Quantum computers; Timing circuits; Learning tasks; Machine-learning; Neural network model; Parametrized quantum circuit; Quantum algorithms; Quantum circuit; Quantum deep neural network; Quantum machine learning; Quantum machines; Variational quantum algorithm; Article; controlled study; deep neural network; machine learning; mathematical model; measurement accuracy; principal component analysis; quantum yield; Deep neural networks","W. Huang; Department of Compute Science, Nanchang University, Nanchang, 330031, China; email: n060101@e.ntu.edu.sg","","Elsevier B.V.","09252312","","NRCGE","","English","Neurocomputing","Article","Final","","Scopus","2-s2.0-85133809606"
"Khatun A.; Yeter Aydeniz K.; Weinstein Y.S.; Usman M.","Khatun, Amena (57212796083); Yeter Aydeniz, Kübra (57207772998); Weinstein, Yaakov S (7005077988); Usman, Muhammad (56559567800)","57212796083; 57207772998; 7005077988; 56559567800","Quantum generative learning for high-resolution medical image generation","2025","Machine Learning: Science and Technology","6","2","025032","","","4","10.1088/2632-2153/add1a9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004920524&doi=10.1088%2F2632-2153%2Fadd1a9&partnerID=40&md5=268f0f51d6e27f570ba319d524a2cd3e","Data61, CSIRO, Dutton Park, 4102, QLD, Australia; Emerging Engineering and Physical Sciences Department, The MITRE Corporation, Princeton, 08540, NJ, United States; Data61, CSIRO, Research Way, Clayton, 3168, VIC, Australia; School of Physics, The University of Melbourne, Parkville, 3010, VIC, Australia","Khatun A., Data61, CSIRO, Dutton Park, 4102, QLD, Australia; Yeter Aydeniz K., Emerging Engineering and Physical Sciences Department, The MITRE Corporation, Princeton, 08540, NJ, United States; Weinstein Y.S., Emerging Engineering and Physical Sciences Department, The MITRE Corporation, Princeton, 08540, NJ, United States; Usman M., Data61, CSIRO, Research Way, Clayton, 3168, VIC, Australia, School of Physics, The University of Melbourne, Parkville, 3010, VIC, Australia","Integration of quantum computing in generative machine learning models has the potential to offer benefits such as training speed-up and superior feature extraction. However, the existing quantum generative adversarial networks (QGANs) fail to generate high-quality images due to their patch-based, pixel-wise learning approaches. These methods capture only local details, ignoring the global structure and semantic information of images. In this work, we address these challenges by proposing a quantum image generative learning (QIGL) approach for high-quality medical image generation. Our proposed quantum generator leverages variational quantum circuit approach addressing scalability issues by extracting principal components from the images instead of dividing them into patches. Additionally, we integrate the Wasserstein distance within the QIGL framework to generate a diverse set of medical samples. Through a systematic set of simulations on x-ray images from knee osteoarthritis and medical MNIST datasets, our model demonstrates superior performance, achieving the lowest Fréchet inception distance scores compared to its classical counterpart and advanced QGAN models reported in the literature. © 2025 The Author(s). Published by IOP Publishing Ltd.","healthcare; medical image generation; quantum computing; quantum generative learning; quantum machine learning","Generative adversarial networks; Quantum channel; Quantum electronics; Quantum optics; Surgery; Variational techniques; Adversarial networks; Healthcare; Image generations; Learning approach; Machine-learning; Medical image generation; Quantum Computing; Quantum generative learning; Quantum machine learning; Quantum machines; Qubits","A. Khatun; Data61, CSIRO, Dutton Park, 4102, Australia; email: amena.khatun@data61.csiro.au","","Institute of Physics","26322153","","","","English","Mach. Learn.: Sci. Technol.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105004920524"
"Ouedrhiri O.; Banouar O.; El Hadaj S.; Raghay S.","Ouedrhiri, Oumayma (57367547300); Banouar, Oumayma (57190488748); El Hadaj, Salah (57193486094); Raghay, Said (6507249017)","57367547300; 57190488748; 57193486094; 6507249017","Intelligent recommender system based on quantum clustering and matrix completion","2022","Concurrency and Computation: Practice and Experience","34","15","e6943","","","15","10.1002/cpe.6943","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126227348&doi=10.1002%2Fcpe.6943&partnerID=40&md5=ca10106c2f653e05a8da2fbb273195e4","Laboratory of Computer Science Engineering and Systems, Faculty of Science and Techniques, Marrakesh, Morocco; Laboratory of Innovative Technolgies, Sidi Mohamed Ben Abdellah University, Fez, Morocco; Laboratory of Applied Mathematics, Faculty of Science and Techniques, Marrakesh, Morocco","Ouedrhiri O., Laboratory of Computer Science Engineering and Systems, Faculty of Science and Techniques, Marrakesh, Morocco; Banouar O., Laboratory of Innovative Technolgies, Sidi Mohamed Ben Abdellah University, Fez, Morocco; El Hadaj S., Laboratory of Computer Science Engineering and Systems, Faculty of Science and Techniques, Marrakesh, Morocco; Raghay S., Laboratory of Applied Mathematics, Faculty of Science and Techniques, Marrakesh, Morocco","Faster than classical algorithms, quantum algorithms benefit from the superposition property of quantum information to offer significant speedup to complex algorithms. Therefore, quantum computing can be used to help machine learning algorithms by boosting their performance and accelerate the processing of time-consuming ones. Clustering algorithms are very complex unsupervised learning algorithms. Indeed, the similarity calculation (distance) between input vectors is a resource-consuming step, especially when working with large datasets. In this article, we propose a new better-performing recommender system that operates as a combination of an adapted quantum K-means algorithm and the singular value decomposition (SVT) algorithm. We integrate the developed quantum clustering algorithm to a prediction process of the proposed recommender system using matrix completion. To the best of our knowledge, no system with such details was proposed in the literature. The system was applied on the MovieLens dataset without a dimensionality reduction step and evaluated according to measures of information retrieval systems. The results of the quantum K-means algorithm show that the quantum version leads to a logarithmic reduction of the time complexity compared to the classical algorithm. The proposed system has proved to be better than the previous tested ones in terms of precision and recall. © 2022 John Wiley & Sons, Ltd.","clustering algorithms; K-means algorithms; matrix completion; MovieLens; quantum machine learning; recommender systems","Adaptive boosting; K-means clustering; Large dataset; Machine learning; Quantum optics; Reduction; Search engines; Singular value decomposition; Complex algorithms; Intelligent recommender system; K-mean algorithms; Matrix completion; Movielens; Of quantum-information; Property; Quantum algorithms; Quantum clustering; Quantum machine learning; Recommender systems","O. Ouedrhiri; Laboratory of Computer Science Engineering and Systems, Faculty of Science and Techniques, Marrakesh, Morocco; email: oumayma.ouedrhiri@ced.uca.ma","","John Wiley and Sons Ltd","15320626","","CCPEB","","English","Concurr. Comput. Pract. Exper.","Article","Final","","Scopus","2-s2.0-85126227348"
"Mishra S.; Tsai C.-Y.","Mishra, Shraddha (57678094800); Tsai, Chi-Yi (57208588219)","57678094800; 57208588219","QSurfNet: a hybrid quantum convolutional neural network for surface defect recognition","2023","Quantum Information Processing","22","5","179","","","11","10.1007/s11128-023-03930-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156213802&doi=10.1007%2Fs11128-023-03930-5&partnerID=40&md5=de35cc88d04c886cab6ef5218fb10be4","Department of Electrical and Computer Engineering, Tamkang University, 151 Yingzhuan Road, Tamshui District, New Taipei City, 251, Taiwan","Mishra S., Department of Electrical and Computer Engineering, Tamkang University, 151 Yingzhuan Road, Tamshui District, New Taipei City, 251, Taiwan; Tsai C.-Y., Department of Electrical and Computer Engineering, Tamkang University, 151 Yingzhuan Road, Tamshui District, New Taipei City, 251, Taiwan","In this paper, we propose a novel hybrid quantum–classical convolutional neural network named QSurfNet, inspired by an efficient surface defect recognition model called SurfNetv2. SurfNetv2 is an established high-speed classical convolution neural network (CNN) model for image recognition, and QSurfNet further inherits the legacy by introducing quantum CNN (QCNN) layers, reducing the number of convolution blocks in the model architecture and the image size required for recognition. The QSurfNet architecture consists of a QCNN module, a feature extraction module, and a surface defect recognition module. The algorithm works on end-to-end supervised quantum machine learning and deep learning techniques to classify the surface defect categories of the surface defect image datasets. For this research, we used the 8 × 8-pixel and 12 × 12-pixel resolution RGB image information from the public Northeastern University dataset, and an industry-sourced calcium silicate board private dataset. We used principal component analysis for image dimensionality reduction across the R, G, and B channels, individually. We compare the performance of QSurfNet with six state-of-the-art methods on these datasets upon recognition results on test accuracy, recall, precision, and F1-Measure performance metrics. QSurfNet is novel in terms of the algorithm design methodology that can turn any classical CNN algorithm into state-of-the-art QCNN. Hence, the proposed methodology contributes to the practical feasibility of developing novel convolutional architecture designs of hybrid quantum–classical algorithms. © 2023, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Industry 4.0; Parameterized quantum circuit; Quantum convolutional neural network; Quantum machine learning; Surface defect recognition","Classification (of information); Convolutional neural networks; Deep learning; Image recognition; Learning systems; Multilayer neural networks; Network architecture; Silicates; Surface defects; Timing circuits; Convolutional neural network; Defect recognition; Machine-learning; Parameterized; Parameterized quantum circuit; Quantum circuit; Quantum convolutional neural network; Quantum machine learning; Quantum machines; Surface defect recognition; Convolution","C.-Y. Tsai; Department of Electrical and Computer Engineering, Tamkang University, New Taipei City, 151 Yingzhuan Road, Tamshui District, 251, Taiwan; email: chiyi_tsai@gms.tku.edu.tw","","Springer","15700755","","","","English","Quantum Inf. Process.","Article","Final","","Scopus","2-s2.0-85156213802"
