"id","project_id","probability","pmid","refman","title","abstract","authors","journal","volume","issue","pages","accession_number","doi","ref","publication_date","publication_year","publication_month","keywords","created_at","updated_at","old_id","search_text","status","filename","resolution_labels","resolution_labels_alternate","labels","labels_alternate","tags","general","population","intervention_comparator","outcome"
"4290040","3614","0","","","Quantum kernel estimation-based quantum support vector regression","Quantum machine learning endeavors to exploit quantum mechanical effects like superposition, entanglement, and interference to enhance the capabilities of classical machine learning methods. One of the most researched quantum machine learning methodologies presently is the quantum support vector machine (QSVM). Researchers have now developed quantum support vector classifiers and substantiated their potential for accelerating computation and enhancing classification accuracy in practical contexts through experimentation. Nevertheless, the utility of QSVM in regression tasks remains a relatively uncharted territory. In light of this, we introduce a quantum kernel estimation-based quantum support vector regression (QKE-QSVR) model for completing regression tasks. Within this proposed model, classical inputs are encoded as quantum feature vectors using the designed quantum feature map circuit with a variable parameter. The inner product between quantum feature vectors give rise to a trainable quantum kernel, which is subject to optimization through our proposed quantum kernel alignment-based regression (QKAR) algorithm, thereby bolstering the model's predictive accuracy when applied to a specific dataset. Subsequently, the trained quantum kernel is incorporated into the classical support vector regression process to construct the decision function and provide predictions for new data points. In this study, we validate the efficacy of the proposed model using three illustrative examples. Experimental findings underscore that, in comparison to the classical support vector machine model, our proposed model demonstrates superior predictive accuracy. © 2024, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Zhou, Xiaojian (55743236400); Yu, Jieyao (57985607200); Tan, Junfan (58827117600); Jiang, Ting (36918339500)","Quantum Information Processing","23","1","","","10.1007/s11128-023-04231-7","","","2024","","Quantum kernel alignment; Quantum kernel estimation; Quantum machine learning; Quantum support vector regression","1773421361340","1773421361340","","Quantum kernel estimation-based quantum support vector regression Zhou, Xiaojian (55743236400); Yu, Jieyao (57985607200); Tan, Junfan (58827117600); Jiang, Ting (36918339500) Quantum Information Processing  Quantum kernel alignment; Quantum kernel estimation; Quantum machine learning; Quantum support vector regression   10.1007/s11128-023-04231-7","included","scopus_export_Mar 13-2026_bd893968-dc41-4186-9b75-e09d54f76225.csv","","","1","yes","","","","",""
"4290037","3614","0","","","QAISim: a toolkit for modeling and simulation of AI in quantum cloud computing environments","Quantum computing offers new ways to explore the theory of computation via the laws of quantum mechanics. Due to the rising demand for quantum computing resources, there is growing interest in developing cloud-based quantum resource sharing platforms that enable researchers to test and execute their algorithms on real quantum hardware. These cloud-based systems face a fundamental challenge in efficiently allocating quantum hardware resources to fulfill the growing computational demand of modern Internet of Things (IoT) applications. So far, attempts have been made in order to make efficient resource allocation, ranging from heuristic-based solutions to machine learning. In this work, we employ quantum reinforcement learning based on parameterized quantum circuits to address the resource allocation problem to support large IoT networks. We propose a python-based toolkit called QAISim for the simulation and modeling of Quantum Artificial Intelligence (QAI) models for designing resource management policies in quantum cloud environments. We have simulated policy gradient and Deep Q-Learning algorithms for reinforcement learning. QAISim exhibits a substantial reduction in model complexity compared to its classical counterparts with fewer trainable variables. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2026.","Singh, Irwindeep (60286751400); Gill, Sukhpal Singh (57216940144); Sun, Jinzhao (57218114402); Mol, Jan (7101772692)","Cluster Computing","29","2","","","10.1007/s10586-025-05879-9","","","2026","","IoT; Quantum applications; Quantum artificial intelligence; Quantum cloud computing; Quantum computing; Quantum machine learning; Quantum programming; Quantum simulations","1773421361340","1773421361340","","QAISim: a toolkit for modeling and simulation of AI in quantum cloud computing environments Singh, Irwindeep (60286751400); Gill, Sukhpal Singh (57216940144); Sun, Jinzhao (57218114402); Mol, Jan (7101772692) Cluster Computing  IoT; Quantum applications; Quantum artificial intelligence; Quantum cloud computing; Quantum computing; Quantum machine learning; Quantum programming; Quantum simulations   10.1007/s10586-025-05879-9","included","scopus_export_Mar 13-2026_bd893968-dc41-4186-9b75-e09d54f76225.csv","","","1","yes","","","","",""
"4290036","3614","0","","","Quantum-Based QoE Optimization in Advanced Cellular Networks: Integration and Cloud Gaming Use Case","This work explores the integration of Quantum Machine Learning (QML) and Quantum-Inspired (QI) techniques for optimizing End-to-End (E2E) network services in telecommunication systems, particularly focusing on 5G networks and beyond. The application of QML and QI algorithms is investigated, comparing their performance with classical Machine Learning (ML) approaches. The present study employs a hybrid framework combining quantum and classical computing leveraging the strengths of QML and QI, without the penalty of quantum hardware availability. This is particularized for the optimization of the Quality of Experience (QoE) over cellular networks. The framework comprises an estimator for obtaining the expected QoE based on user metrics, service settings, and cell configuration, and an optimizer that uses the estimation to choose the best cell and service configuration. Although the approach is applicable to any QoE-based network management, its implementation is particularized for the optimization of network configurations for Cloud Gaming services. Then, it is evaluated via performance metrics such as accuracy, model loading and inference times for the estimator, time to solution and solution score for the optimizer. The results indicate that QML models achieve similar or superior accuracy to classical ML models for estimation, while decreasing inference and loading times. Furthermore, potential for better performance is observed for higher-dimensional data, highlighting promising results for higher complexity problems. Thus, the results demonstrate the promising potential of QML in advancing network optimization, although challenges related to data availability and integration complexities between quantum and classical ML are identified as future research lines. © 2020 IEEE.","Chaouech, Fatma (60057005200); Villegas, Javier (57222041802); Pereira, António (59462713500); Baena, Carlos (57210729862); Fortes, Sergio (56385935600); Barco, Raquel (8879662700); Gribben, Dominic (57198865258); Dib, Mohammad (58257616700); Villarino, Alba (59462195700); Cortines, Aser (59462580700); Orus, Roman (6603442112)","IEEE Open Journal of the Communications Society","6","","9604–9618","","10.1109/OJCOMS.2025.3628485","","","2025","","5G; 6G; AI; network intelligence; network management; Open RAN; optimization; quality of experience; Quantum; quantum machine learning (QML); quantum-inspired (QI)","1773421361340","1773421361340","","Quantum-Based QoE Optimization in Advanced Cellular Networks: Integration and Cloud Gaming Use Case Chaouech, Fatma (60057005200); Villegas, Javier (57222041802); Pereira, António (59462713500); Baena, Carlos (57210729862); Fortes, Sergio (56385935600); Barco, Raquel (8879662700); Gribben, Dominic (57198865258); Dib, Mohammad (58257616700); Villarino, Alba (59462195700); Cortines, Aser (59462580700); Orus, Roman (6603442112) IEEE Open Journal of the Communications Society  5G; 6G; AI; network intelligence; network management; Open RAN; optimization; quality of experience; Quantum; quantum machine learning (QML); quantum-inspired (QI)   10.1109/OJCOMS.2025.3628485","included","scopus_export_Mar 13-2026_bd893968-dc41-4186-9b75-e09d54f76225.csv","","","1","yes","","","","",""
"4290035","3614","0","","","Parallel hybrid quantum-classical machine learning for kernelized time-series classification","Supervised time-series classification garners widespread interest because of its applicability throughout a broad application domain including finance, astronomy, biosensors, and many others. In this work, we tackle this problem with hybrid quantum-classical machine learning, deducing pairwise temporal relationships between time-series instances using a time-series Hamiltonian kernel (TSHK). A TSHK is constructed with a sum of inner products generated by quantum states evolved using a parameterized time evolution operator. This sum is then optimally weighted using techniques derived from multiple kernel learning. Because we treat the kernel weighting step as a differentiable convex optimization problem, our method can be regarded as an end-to-end learnable hybrid quantum-classical-convex neural network, or QCC-net, whose output is a data set-generalized kernel function suitable for use in any kernelized machine learning technique such as the support vector machine (SVM). Using our TSHK as input to a SVM, we classify univariate and multivariate time-series using quantum circuit simulators and demonstrate the efficient parallel deployment of the algorithm to 127-qubit superconducting quantum processors using quantum multi-programming. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2024.","Baker, Jack S. (57462192800); Park, Gilchan (56405003100); Yu, Kwangmin (55970807900); Ghukasyan, Ara (58309851600); Goktas, Oktay (58707668000); Radha, Santosh Kumar (57202924560)","Quantum Machine Intelligence","6","1","","","10.1007/s42484-024-00149-0","","","2024","","Convex optimization; Kernel methods; Quantum machine learning; Quantum multi-programming; Time-series","1773421361340","1773421361340","","Parallel hybrid quantum-classical machine learning for kernelized time-series classification Baker, Jack S. (57462192800); Park, Gilchan (56405003100); Yu, Kwangmin (55970807900); Ghukasyan, Ara (58309851600); Goktas, Oktay (58707668000); Radha, Santosh Kumar (57202924560) Quantum Machine Intelligence  Convex optimization; Kernel methods; Quantum machine learning; Quantum multi-programming; Time-series   10.1007/s42484-024-00149-0","included","scopus_export_Mar 13-2026_bd893968-dc41-4186-9b75-e09d54f76225.csv","","","1","yes","","","","",""
"4290032","3614","0","","","Quantum-Enhanced Dual-Backbone Architecture for Accurate Gastrointestinal Disease Detection Using Endoscopic Imaging","Background: Quantum machine learning (QML) holds significant promise for advancing medical image classification. However, its practical application to large-scale, high-resolution datasets is constrained by the limited number of qubits and the inherent noise in current quantum hardware. Methods: In this study, we propose the Fused Quantum Dual-Backbone Network (FQDN), a novel hybrid architecture that integrates classical convolutional neural networks (CNNs) with quantum circuits. This design is optimized for the noisy intermediate-scale quantum (NISQ), enabling efficient computation despite hardware limitations. We evaluate FQDN on the task of gastrointestinal (GI) disease classification using wireless capsule endoscopy (WCE) images. Results: The proposed model achieves a substantial reduction in parameter complexity, with a 29.04% decrease in total parameters and a 94.44% reduction in trainable parameters, while outperforming its classical counterpart. FQDN achieves an accuracy of 95.80% on the validation set and 95.42% on the test set. Conclusions: These results demonstrate the potential of QML to enhance diagnostic accuracy in medical imaging. © 2025 by the authors.","Marzoug, Nabil (58817844100); Halab, Khidhr (58818179800); El Meslouhi, Othmane (36801514200); Abou Elassad, Zouhair Elamrani (59196408700); Akhloufi, Moulay A. (23979609400)","BioMedInformatics","5","3","","","10.3390/biomedinformatics5030051","","","2025","","classification; endoscopy images; models fusion; quantum machine learning","1773421361340","1773421361340","","Quantum-Enhanced Dual-Backbone Architecture for Accurate Gastrointestinal Disease Detection Using Endoscopic Imaging Marzoug, Nabil (58817844100); Halab, Khidhr (58818179800); El Meslouhi, Othmane (36801514200); Abou Elassad, Zouhair Elamrani (59196408700); Akhloufi, Moulay A. (23979609400) BioMedInformatics  classification; endoscopy images; models fusion; quantum machine learning   10.3390/biomedinformatics5030051","included","scopus_export_Mar 13-2026_bd893968-dc41-4186-9b75-e09d54f76225.csv","","","1","yes","","","","",""
"4290031","3614","0","","","Optimizing Quantum Classification Algorithms on Classical Benchmark Datasets","The discovery of quantum algorithms offering provable advantages over the best known classical alternatives, together with the parallel ongoing revolution brought about by classical artificial intelligence, motivates a search for applications of quantum information processing methods to machine learning. Among several proposals in this domain, quantum kernel methods have emerged as particularly promising candidates. However, while some rigorous speedups on certain highly specific problems have been formally proven, only empirical proof-of-principle results have been reported so far for real-world datasets. Moreover, no systematic procedure is known, in general, to fine tune and optimize the performances of kernel-based quantum classification algorithms. At the same time, certain limitations such as kernel concentration effects—hindering the trainability of quantum classifiers—have also been recently pointed out. In this work, we propose several general-purpose optimization methods and best practices designed to enhance the practical usefulness of fidelity-based quantum classification algorithms. Specifically, we first describe a data pre-processing strategy that, by preserving the relevant relationships between data points when processed through quantum feature maps, substantially alleviates the effect of kernel concentration on structured datasets. We also introduce a classical post-processing method that, based on standard fidelity measures estimated on a quantum processor, yields non-linear decision boundaries in the feature Hilbert space, thus achieving the quantum counterpart of the radial basis functions technique that is widely employed in classical kernel methods. Finally, we apply the so-called quantum metric learning protocol to engineer and adjust trainable quantum embeddings, demonstrating substantial performance improvements on several paradigmatic real-world classification tasks. © 2023 by the authors.","John, Manuel (58421064400); Schuhmacher, Julian (57552158300); Barkoutsos, Panagiotis (57190814001); Tavernelli, Ivano (6602279067); Tacchino, Francesco (57200595870)","Entropy","25","6","","","10.3390/e25060860","","","2023","","quantum classification algorithms; quantum kernel methods; quantum machine learning","1773421361340","1773421361340","","Optimizing Quantum Classification Algorithms on Classical Benchmark Datasets John, Manuel (58421064400); Schuhmacher, Julian (57552158300); Barkoutsos, Panagiotis (57190814001); Tavernelli, Ivano (6602279067); Tacchino, Francesco (57200595870) Entropy  quantum classification algorithms; quantum kernel methods; quantum machine learning   10.3390/e25060860","included","scopus_export_Mar 13-2026_bd893968-dc41-4186-9b75-e09d54f76225.csv","","","1","yes","","","","",""
"4290030","3614","0","","","Optimized DenseNet121 and Quantum PennyLane Fusion for Explainable Skin Disease Recognition and Classification","The accurate diagnosis of skin diseases, particularly in distinguishing between visually similar conditions such as Measles, Monkeypox, Chickenpox, and Normal skin states, remains a critical challenge in clinical dermatology. To address this, we propose a novel hybrid framework that seamlessly integrates classical convolutional neural networks (CNNs) with quantum computing principles for enhanced multi-class classification. Our approach utilizes DenseNet121 as the backbone feature extractor, which is then coupled with a quantum-enhanced classifier implemented using the PennyLane framework. This fusion not only improves classification accuracy but also ensures interpretability, a key requirement in medical diagnostics. To further enhance transparency and trust, we incorporate multiple Explainable AI (XAI) techniques, including SHAP, LIME, Grad-CAM, and XRAI, to provide both pixel-level visualizations and region-based annotations through bounding boxes that highlight infection zones. An embedding-based image recognition module is also introduced to retrieve visually similar cases from a database, aiding clinicians in comparative analysis and decision-making. We employ Optuna-based hyperparameter optimization to fine-tune the CNN components, achieving a validation accuracy exceeding 91.5% on a dataset of 770 real-world skin lesion images. The robustness of our pipeline is validated through rigorous random sampling and multi-class evaluation. This work demonstrates the potential of combining quantum machine learning with interpretable CNNs to advance medical image analysis in dermatology, offering a system that balances performance, transparency, and clinical utility. © 2013 IEEE.","Aravinda, C.V. (36599892200); Joseph, Emerson Raja (55349903800); Alasmari, Sultan (57193878788)","IEEE Access","13","","167957–167969","","10.1109/ACCESS.2025.3608217","","","2025","","clinical decision support; DenseNet121; explainable AI; grad-CAM; hybrid framework; LIME; quantum machine learning; SHAP; Skin disease classification; XRAI","1773421361340","1773421361340","","Optimized DenseNet121 and Quantum PennyLane Fusion for Explainable Skin Disease Recognition and Classification Aravinda, C.V. (36599892200); Joseph, Emerson Raja (55349903800); Alasmari, Sultan (57193878788) IEEE Access  clinical decision support; DenseNet121; explainable AI; grad-CAM; hybrid framework; LIME; quantum machine learning; SHAP; Skin disease classification; XRAI   10.1109/ACCESS.2025.3608217","included","scopus_export_Mar 13-2026_bd893968-dc41-4186-9b75-e09d54f76225.csv","","","1","yes","","","","",""
"4290029","3614","0","","","A novel metaheuristic-enhanced quantum-classical neural network for attack detection in agriculture IoT systems","This paper addresses the growing cybersecurity challenges in Agricultural Internet of Things (AG-IoT) environments, where large-scale sensor networks generate high-dimensional and complex traffic data that traditional machine learning (ML) models struggle to analyze effectively. To improve intrusion detection performance under these conditions, we propose a hybrid quantum–classical neural network model designed to capture complex patterns in AG-IoT traffic. High-dimensionality is first reduced using a binary Starfish Optimization Algorithm (SFOA) for feature selection, inspired by starfish foraging and regeneration behaviors. SFOA was chosen due to its superior convergence performance benchmarked against 100 modern metaheuristic algorithms, making it highly suitable for large AG-IoT datasets. A secondary mutual-information-based reduction further selects the most informative features for quantum processing. These features are then encoded into quantum circuits and evaluated using three architectures: a fully quantum model, a hybrid model combining quantum feature transformation with a classical classifier, and an enhanced hybrid model incorporating additional classical layers. All quantum experiments were executed on noise-free quantum simulators rather than physical hardware. Experiments conducted on the publicly available Farm-Flow dataset, which includes 1.3 million AG-IoT traffic flows across eight attack categories, demonstrate that the proposed hybrid approach achieves 90.10% accuracy in binary classification and 84.60% accuracy in multiclass intrusion detection. These findings suggest that the model provides performance comparable to conventional ML methods reported in the literature. Ultimately, this study highlights that quantum machine learning (QML), when paired with optimized feature selection, offers a promising and effective direction for securing AG-IoT systems against evolving cyber threats. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2026.","Gül, Muhammed Furkan (58634066700); Bakır, Halit (59391689100)","Journal of Supercomputing","82","2","","","10.1007/s11227-025-08118-5","","","2026","","Agricultural Internet of Things; Feature Selection; Intrusion Detection System; Quantum Machine Learning; Starfish Optimization Algorithm","1773421361340","1773421361340","","A novel metaheuristic-enhanced quantum-classical neural network for attack detection in agriculture IoT systems Gül, Muhammed Furkan (58634066700); Bakır, Halit (59391689100) Journal of Supercomputing  Agricultural Internet of Things; Feature Selection; Intrusion Detection System; Quantum Machine Learning; Starfish Optimization Algorithm   10.1007/s11227-025-08118-5","included","scopus_export_Mar 13-2026_bd893968-dc41-4186-9b75-e09d54f76225.csv","","","1","yes","","","","",""
"4290028","3614","0","","","Quantum convolutional neural network for classical data classification","With the rapid advance of quantum machine learning, several proposals for the quantum-analogue of convolutional neural network (CNN) have emerged. In this work, we benchmark fully parameterized quantum convolutional neural networks (QCNNs) for classical data classification. In particular, we propose a quantum neural network model inspired by CNN that only uses two-qubit interactions throughout the entire algorithm. We investigate the performance of various QCNN models differentiated by structures of parameterized quantum circuits, quantum data encoding methods, classical data pre-processing methods, cost functions and optimizers on MNIST and Fashion MNIST datasets. In most instances, QCNN achieved excellent classification accuracy despite having a small number of free parameters. The QCNN models performed noticeably better than CNN models under the similar training conditions. Since the QCNN algorithm presented in this work utilizes fully parameterized and shallow-depth quantum circuits, it is suitable for Noisy Intermediate-Scale Quantum (NISQ) devices. © 2022, The Author(s), under exclusive licence to Springer Nature Switzerland AG.","Hur, Tak (57226888332); Kim, Leeseok (57226892388); Park, Daniel K. (55361200600)","Quantum Machine Intelligence","4","1","","","10.1007/s42484-021-00061-x","","","2022","","Convolutional neural network; Deep learning; Quantum machine learning","1773421361340","1773421361340","","Quantum convolutional neural network for classical data classification Hur, Tak (57226888332); Kim, Leeseok (57226892388); Park, Daniel K. (55361200600) Quantum Machine Intelligence  Convolutional neural network; Deep learning; Quantum machine learning   10.1007/s42484-021-00061-x","included","scopus_export_Mar 13-2026_bd893968-dc41-4186-9b75-e09d54f76225.csv","","","1","yes","","","","",""
"4290026","3614","0","","","Quantum-Enhanced Battery Anomaly Detection in Smart Transportation Systems","Ensuring the safety, reliability, and longevity of Lithium-ion (Li-ion) batteries is crucial for sustainable integration of Electric Vehicles (EVs) within Intelligent Transportation Systems (ITSs). However, thermal stress and degradation-induced anomalies can cause sudden performance failures, posing critical operational and safety risks. Capturing complex, non-linear, and high-dimensional patterns remains challenging for traditional Machine Learning (ML) models. We propose a hybrid anomaly detection method that incorporates a Variational Quantum Neural Network (VQNN), which uses the principles of quantum mechanics, such as superposition, entanglement, and parallelism, to learn complex non-linear patterns. The VQNN is integrated with Isolation Forest (IF) and a Median Absolute Deviation (MAD)-based spike characterisation method to form a Quantum Anomaly Detector (QAD). This method distinguishes between normal and anomalous spikes in battery behaviour. Using an Arrhenius-based model, we simulate how the State of Health (SoH) and voltage of a Li-ion battery reduce as temperatures increase. We perform experiments on NASA battery datasets and detect abnormal spikes in 14 out of 168 cycles, corresponding to (Formula presented.) % of the cycles. The QAD achieves the highest Receiver Operating Characteristic Area Under the Curve (ROC-AUC) of (Formula presented.), outperforming the baseline IF model by (Formula presented.). We use ML to predict the SoH and voltage changes when the temperature varies. Gradient Boosting (GB) achieves a voltage Mean Squared Error (MSE) of (Formula presented.), while Support Vector Regression (SVR) achieves the highest (Formula presented.) score of (Formula presented.). These results demonstrate that Quantum Machine Learning (QML) can be applied for anomaly detection in Battery Management Systems (BMSs) within intelligent transportation ecosystems and could enable EVs to autonomously adapt their routing and schedule preventative maintenance. With these capabilities, safety will be improved, downtime minimised, and public confidence in sustainable transport technologies increased. © 2025 by the authors.","Mutua, Alexander Mutiso (58950221200); de Fréin, Ruairí (24824060300)","Applied Sciences (Switzerland)","15","17","","","10.3390/app15179452","","","2025","","anomaly detection; battery management systems; battery state of health; electric vehicles; quantum machine learning; smart transportation systems; thermal runaway","1773421361340","1773421361340","","Quantum-Enhanced Battery Anomaly Detection in Smart Transportation Systems Mutua, Alexander Mutiso (58950221200); de Fréin, Ruairí (24824060300) Applied Sciences (Switzerland)  anomaly detection; battery management systems; battery state of health; electric vehicles; quantum machine learning; smart transportation systems; thermal runaway   10.3390/app15179452","included","scopus_export_Mar 13-2026_bd893968-dc41-4186-9b75-e09d54f76225.csv","","","1","yes","","","","",""
