,original_index,id,llm_suggested_domains,llm_suggested_models,domains,models,domain_score,model_score
0,0,4290040,['Not Specified'],"['Quantum Support Vector Machine', 'Quantum Support Vector Classifier', 'Quantum Kernel Estimation-based Quantum Support Vector Regression', 'QKE-QSVR']",['Not specified'],"['quantum support vector machine', 'quantum kernel estimation-based quantum support vector regression']",1,1
1,1,4290037,"['Internet of Things', 'Cloud Computing']","['Parameterized Quantum Circuit', 'Quantum Reinforcement Learning']",['resource allocation'],"['quantum reinforcement learning', 'parameterized quantum circuits']",0,1
2,8,4290028,['Not Specified'],"['Quantum convolutional neural networks', 'Quantum neural network', 'Parameterized quantum circuits']",['image classification'],['quantum convolutional neural networks'],1,1
3,9,4290026,"['Electric Vehicles', 'Intelligent Transportation Systems', 'Battery Management Systems']","['Variational Quantum Neural Network', 'Quantum Anomaly Detector']","['Intelligent Transportation Systems', 'anomaly detection']",['Variational Quantum Neural Network'],1,1
4,19,4290011,['Electrical Engineering'],"['quantum variational model', 'quantum kernel model']",['electrical discharge classification'],"['quantum variational model', 'quantum support vector machine']",1,1
5,21,4290008,"['Optoelectronics', 'Solar cells', 'Catalysis', 'Materials informatics']",['Quantum Support Vector Regression'],"['chemistry', 'lattice constants']",['Quantum Support Vector Regression'],1,1
6,30,4289991,['Healthcare'],"['Quantum Variational Classifier', 'Parameterized Quantum Circuits', 'Quantum Support Vector Machine', 'Quantum Variational Kernel Support Vector Machine']","['Healthcare', 'diagnosis', 'treatment']","['Quantum Variational Classifier', 'Parameterized Quantum Circuits']",1,1
7,68,4289918,['Finance'],['Quantum Long Short-Term Memory'],"['Finance', 'Price forcasting', 'time-series data']",['Quantum Long Short-Term Memory'],1,1
8,69,4289914,['Healthcare'],"['Quanvolutional neural network', 'Quantum support vector classifier']","['Healthcare', 'Skin diseases', 'diagnosis']","['Quanvolutional neural network', 'Quantum Support Vector Classifier']",1,1
9,70,4289912,"['Neuroscience', 'Clinical Research']",['Quantum-EEGNet'],"['healthcare', 'electroencephalography classification']","['Quantum-EEGNet', 'hybrid quantum-neural network']",1,1
10,96,4289850,"['Cybersecurity', 'Network Traffic Analysis']",['Quantum Convolutional Neural Network'],"['Network traffic detection', 'anomaly detection', 'cybersecurity']",['quantum convolutional neural network'],1,1
11,109,4289821,['Not Specified'],['Boltzmann machines'],['Not specified'],['Not specified'],1,0
12,115,4289813,['Healthcare'],"['Hybrid Quantum-Neural Network', 'Quantum Neural Networks']","['healthcare', 'classification of cardiovascular disease']",['hybrid quantum-neural network'],1,1
13,135,4289770,"['Artificial Intelligence', 'Natural Language Processing']",['Complex Quantum Kernel Self-Attention Network'],['text classification'],['Complex Quantum Kernel Self-Attention Network'],1,1
14,144,4289744,['Chemistry'],"['quantum linear regression', 'quantum radial basis function neural network', 'quantum neural network']","['chemistry', 'atomization energies']","['quantum linear regression', 'quantum radial basis function neural network', 'quantum neural network']",1,1
15,156,4289718,['Image processing'],['quanvolutional neural network'],['image classification'],['quanvolutional neural network'],1,1
16,163,4289686,['Finance'],['Not Specified'],"['Credit card fraud detection', 'Fraud detection']",['Not specified'],1,1
17,164,4289684,"['Computer Vision', 'Transportation']","['quantum variational circuits', 'quantum transfer learning']",['High-resolution image classification'],"['quantum transfer learning', 'quantum variational circuits']",1,1
18,165,4289683,['Healthcare'],['Quantum Support Vector Machine'],"['healthcare', 'electroencephalogram classification']",['quantum support vector machine'],1,1
19,175,4289647,['Image Classification'],"['Quantum Neural Network', 'Hybrid Quantum Neural Network']",['image classification'],['Hybrid quantum-neural network'],1,1
